method,coverage_pct,participation_pct,comm_mb_round,cumulative_energy_j,round_time_s,placement_fitness,jain_fairness,rounds_to_target
fedcs,93.0,29.8417,14.8158,2557797.8344,6.0138,0.7802,0.8296,
flat_fl,100.0,31.0833,15.6141,0.0,4.0752,1.0,0.8959,62.9524
oort,93.1292,22.8833,12.5021,1526920.784,4.4032,0.779,0.6886,
proposed_hfl,93.0167,23.5542,12.6509,2096379.0311,4.6376,0.7801,0.6911,62.7143
