dropout_rate,snr_degradation_db,black_chip_rate,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,metric,test,correction
0.3,0.0,0.0,flat_fl,mozaffari2016,16,0.0,3.0517578125e-05,0.04922879565427975,1.0,0.043673166213994245,0.05496178387541158,True,accuracy,wilcoxon,holm
0.0,0.0,0.2,flat_fl,oort,16,0.0,3.0517578125e-05,0.0586763288085217,1.0,0.05103930729344471,0.06598849345197501,True,accuracy,wilcoxon,holm
0.1,0.0,0.0,flat_fl,mozaffari2016,16,0.0,3.0517578125e-05,0.04611835915745548,1.0,0.04030893639425652,0.05207782631412572,True,accuracy,wilcoxon,holm
0.2,0.0,0.0,flat_fl,mozaffari2016,16,0.0,3.0517578125e-05,0.049433771909808244,1.0,0.04323157854830017,0.05547697896134745,True,accuracy,wilcoxon,holm
0.0,10.0,0.0,fedcs,flat_fl,16,0.0,3.0517578125e-05,-0.06503443254019305,-1.0,-0.07440524187891753,-0.05637389492858526,True,accuracy,wilcoxon,holm
0.0,0.0,0.0,flat_fl,hfl_no_selection,16,0.0,3.0517578125e-05,0.04865445144152422,1.0,0.04380299259664699,0.054049756677065214,True,accuracy,wilcoxon,holm
0.0,0.0,0.05,fedcs,flat_fl,16,0.0,3.0517578125e-05,-0.05354936350821773,-1.0,-0.057981437620342496,-0.04927874507780301,True,accuracy,wilcoxon,holm
0.0,0.0,0.1,fedcs,flat_fl,16,0.0,3.0517578125e-05,-0.05164342881399404,-1.0,-0.05625843893415906,-0.047275574094446424,True,accuracy,wilcoxon,holm
0.0,0.0,0.2,fedcs,flat_fl,16,0.0,3.0517578125e-05,-0.04406113636256275,-1.0,-0.050471737783586816,-0.03785899651227761,True,accuracy,wilcoxon,holm
0.0,6.0,0.0,fedcs,flat_fl,16,0.0,3.0517578125e-05,-0.06220176960221036,-1.0,-0.06724153397510536,-0.05754671006201969,True,accuracy,wilcoxon,holm
0.0,0.0,0.0,fair_mab,oort,16,0.0,3.0517578125e-05,0.026755716261129457,1.0,0.020157286363750804,0.033110450508677815,True,accuracy,wilcoxon,holm
0.4,0.0,0.0,fair_mab,flat_fl,16,0.0,3.0517578125e-05,-0.04770233061084889,-1.0,-0.05435456108778269,-0.04164504343300136,True,accuracy,wilcoxon,holm
0.3,0.0,0.0,fair_mab,flat_fl,16,0.0,3.0517578125e-05,-0.04711829223491289,-1.0,-0.05424704316903546,-0.04049973766155937,True,accuracy,wilcoxon,holm
0.0,0.0,0.05,fair_mab,flat_fl,16,0.0,3.0517578125e-05,-0.036753662703270976,-1.0,-0.04227216858570446,-0.03156472739668588,True,accuracy,wilcoxon,holm
0.0,0.0,0.1,fair_mab,flat_fl,16,0.0,3.0517578125e-05,-0.035577037768567306,-1.0,-0.041394697541794444,-0.03047816450669952,True,accuracy,wilcoxon,holm
0.0,0.0,0.2,fair_mab,flat_fl,16,0.0,3.0517578125e-05,-0.03154335795772993,-1.0,-0.03670200955745727,-0.026911507404341173,True,accuracy,wilcoxon,holm
0.0,3.0,0.0,fair_mab,flat_fl,16,0.0,3.0517578125e-05,-0.05188271337965833,-1.0,-0.06007649180583775,-0.044804090894649394,True,accuracy,wilcoxon,holm
0.0,6.0,0.0,fair_mab,flat_fl,16,0.0,3.0517578125e-05,-0.050589518111550026,-1.0,-0.05894948288529281,-0.04351472810753407,True,accuracy,wilcoxon,holm
0.0,10.0,0.0,fair_mab,flat_fl,16,0.0,3.0517578125e-05,-0.06263430906036607,-1.0,-0.07374584565966127,-0.05379288088177856,True,accuracy,wilcoxon,holm
0.1,0.0,0.0,fair_mab,flat_fl,16,0.0,3.0517578125e-05,-0.04829107485022454,-1.0,-0.05458503952119371,-0.04183317956885465,True,accuracy,wilcoxon,holm
0.2,0.0,0.0,fair_mab,flat_fl,16,0.0,3.0517578125e-05,-0.04513051735135221,-1.0,-0.05163687558317203,-0.03876766488461985,True,accuracy,wilcoxon,holm
0.0,0.0,0.0,fair_mab,flat_fl,16,0.0,3.0517578125e-05,-0.046540699170989776,-1.0,-0.05190711989183212,-0.04170605451255264,True,accuracy,wilcoxon,holm
0.0,0.0,0.05,fair_mab,fedcs,16,0.0,3.0517578125e-05,0.016795700804946752,1.0,0.012887612747737247,0.020778560661927528,True,accuracy,wilcoxon,holm
0.0,0.0,0.0,fair_mab,fedcs,16,0.0,3.0517578125e-05,0.02012260381375723,1.0,0.016447644871520135,0.02368142077564351,True,accuracy,wilcoxon,holm
0.0,0.0,0.0,flat_fl,proposed_hfl,16,0.0,3.0517578125e-05,0.0508007513714462,1.0,0.04543209857149326,0.057015423690632915,True,accuracy,wilcoxon,holm
0.4,0.0,0.0,flat_fl,oort,16,0.0,3.0517578125e-05,0.04889547221577315,1.0,0.04315003211888304,0.054619067184063015,True,accuracy,wilcoxon,holm
0.3,0.0,0.0,flat_fl,oort,16,0.0,3.0517578125e-05,0.05028274312354919,1.0,0.042639624383093676,0.0578296210829221,True,accuracy,wilcoxon,holm
0.2,0.0,0.0,flat_fl,oort,16,0.0,3.0517578125e-05,0.060366399870927616,1.0,0.052942084574080894,0.06748130525451755,True,accuracy,wilcoxon,holm
0.1,0.0,0.0,flat_fl,oort,16,0.0,3.0517578125e-05,0.06627667232976556,1.0,0.05879556690064672,0.0732478862335865,True,accuracy,wilcoxon,holm
0.0,3.0,0.0,fedcs,flat_fl,16,0.0,3.0517578125e-05,-0.0670622755765181,-1.0,-0.07328329345689265,-0.061354246721704565,True,accuracy,wilcoxon,holm
0.0,0.0,0.05,flat_fl,hfl_no_selection,16,0.0,3.0517578125e-05,0.03999831742818852,1.0,0.03446347566137093,0.046396923522367725,True,accuracy,wilcoxon,holm
0.0,0.0,0.0,fedcs,flat_fl,16,0.0,3.0517578125e-05,-0.06666330298474701,-1.0,-0.0723760364260654,-0.061209948309649695,True,accuracy,wilcoxon,holm
0.0,0.0,0.0,alzenad2017,fedcs,16,0.0,3.0517578125e-05,0.02123262537894805,1.0,0.016904549605681964,0.02578086963309953,True,accuracy,wilcoxon,holm
0.0,0.0,0.2,alzenad2017,flat_fl,16,0.0,3.0517578125e-05,-0.03513914622275395,-1.0,-0.04135533217282717,-0.029445707177461852,True,accuracy,wilcoxon,holm
0.0,0.0,0.1,alzenad2017,flat_fl,16,0.0,3.0517578125e-05,-0.03433377924039876,-1.0,-0.0411900034330198,-0.027529979191028935,True,accuracy,wilcoxon,holm
0.0,0.0,0.05,alzenad2017,flat_fl,16,0.0,3.0517578125e-05,-0.036089087021046976,-1.0,-0.04209528186319996,-0.03047496386910037,True,accuracy,wilcoxon,holm
0.0,0.0,0.0,alzenad2017,flat_fl,16,0.0,3.0517578125e-05,-0.045430677605798955,-1.0,-0.05201036626583872,-0.039360289710001786,True,accuracy,wilcoxon,holm
0.0,10.0,0.0,alzenad2017,flat_fl,16,0.0,3.0517578125e-05,-0.062405502163569854,-1.0,-0.07684755900692967,-0.04995454927900768,True,accuracy,wilcoxon,holm
0.0,0.0,0.05,alzenad2017,fedcs,16,0.0,3.0517578125e-05,0.017460276487170752,1.0,0.012696314865909178,0.022817916166080306,True,accuracy,wilcoxon,holm
0.0,3.0,0.0,alzenad2017,flat_fl,16,0.0,3.0517578125e-05,-0.0476491970375772,-1.0,-0.05253943113092085,-0.043029561380379805,True,accuracy,wilcoxon,holm
0.0,6.0,0.0,alzenad2017,flat_fl,16,0.0,3.0517578125e-05,-0.04916338663400315,-1.0,-0.0563251873309523,-0.04191970871811944,True,accuracy,wilcoxon,holm
0.4,0.0,0.0,fedcs,flat_fl,16,0.0,3.0517578125e-05,-0.050628837214253146,-1.0,-0.05901980737460739,-0.043948776786767535,True,accuracy,wilcoxon,holm
0.3,0.0,0.0,fedcs,flat_fl,16,0.0,3.0517578125e-05,-0.06089255308974202,-1.0,-0.06708751288366785,-0.05490572311816682,True,accuracy,wilcoxon,holm
0.2,0.0,0.0,fedcs,flat_fl,16,0.0,3.0517578125e-05,-0.062037251506349776,-1.0,-0.07148534621183092,-0.052823319632298055,True,accuracy,wilcoxon,holm
0.4,0.0,0.0,alzenad2017,flat_fl,16,0.0,3.0517578125e-05,-0.04452067797967893,-1.0,-0.05027801471435557,-0.039083441964573494,True,accuracy,wilcoxon,holm
0.1,0.0,0.0,alzenad2017,flat_fl,16,0.0,3.0517578125e-05,-0.04526717699234604,-1.0,-0.05171641197794056,-0.03956253635259128,True,accuracy,wilcoxon,holm
0.2,0.0,0.0,alzenad2017,flat_fl,16,0.0,3.0517578125e-05,-0.04251515271445788,-1.0,-0.04949275555857333,-0.03570377770151875,True,accuracy,wilcoxon,holm
0.3,0.0,0.0,alzenad2017,flat_fl,16,0.0,3.0517578125e-05,-0.0430398418656136,-1.0,-0.04800800139943315,-0.03812009078794837,True,accuracy,wilcoxon,holm
0.1,0.0,0.0,fedcs,flat_fl,16,0.0,3.0517578125e-05,-0.06284052614255689,-1.0,-0.07015891847006364,-0.055910628630068696,True,accuracy,wilcoxon,holm
0.0,3.0,0.0,fedcs,proposed_hfl,16,1.0,6.103515625e-05,-0.01766988382284731,-0.9852941176470589,-0.022252955047395172,-0.013012435836398262,True,accuracy,wilcoxon,holm
0.1,0.0,0.0,oort,proposed_hfl,16,1.0,6.103515625e-05,-0.01874901266911405,-0.9852941176470589,-0.024035765252800195,-0.013126089960918939,True,accuracy,wilcoxon,holm
0.0,0.0,0.1,oort,proposed_hfl,16,1.0,6.103515625e-05,-0.020297557758584682,-0.9852941176470589,-0.02715806341404947,-0.01369361655673135,True,accuracy,wilcoxon,holm
0.0,0.0,0.0,oort,proposed_hfl,16,1.0,6.103515625e-05,-0.022495664060673035,-0.9852941176470589,-0.029568648257146318,-0.015437528982164682,True,accuracy,wilcoxon,holm
0.0,0.0,0.2,fair_mab,oort,16,2.0,9.1552734375e-05,0.02713297085079177,0.9705882352941176,0.019114265129958792,0.03458838960028569,True,accuracy,wilcoxon,holm
0.3,0.0,0.0,alzenad2017,fedcs,16,2.0,9.1552734375e-05,0.017852711224128424,0.9705882352941176,0.012283990897332207,0.023156631363268895,True,accuracy,wilcoxon,holm
0.0,3.0,0.0,alzenad2017,fedcs,16,2.0,9.1552734375e-05,0.0194130785389409,0.9705882352941176,0.013389557868255244,0.025588715265897448,True,accuracy,wilcoxon,holm
0.0,0.0,0.2,fedcs,oort,16,2.0,9.1552734375e-05,0.01461519244595895,0.9705882352941176,0.00905424177807591,0.020520685177470705,True,accuracy,wilcoxon,holm
0.0,0.0,0.0,fedcs,mozaffari2016,16,3.0,0.000152587890625,-0.015127781983714138,-0.9558823529411765,-0.020402030609950585,-0.009888177413285812,True,accuracy,wilcoxon,holm
0.0,0.0,0.05,alzenad2017,oort,16,3.0,0.000152587890625,0.022691525394156205,0.9558823529411765,0.015622392951270787,0.02995809021995171,True,accuracy,wilcoxon,holm
0.0,0.0,0.1,fair_mab,fedcs,16,3.0,0.000152587890625,0.01606639104542673,0.9558823529411765,0.01054944413086647,0.02128381188665204,True,accuracy,wilcoxon,holm
0.0,0.0,0.1,fedcs,mozaffari2016,16,3.0,0.000152587890625,-0.016237627344315685,-0.9558823529411765,-0.020528451980355734,-0.011304853973929744,True,accuracy,wilcoxon,holm
0.0,0.0,0.1,alzenad2017,fedcs,16,3.0,0.000152587890625,0.01730964957359528,0.9558823529411765,0.012029735773458838,0.022676407553699186,True,accuracy,wilcoxon,holm
0.0,0.0,0.0,fedcs,hfl_no_selection,16,4.0,0.000213623046875,-0.018008851543222786,-0.9411764705882353,-0.024853700747390628,-0.01139906980620249,True,accuracy,wilcoxon,holm
0.0,0.0,0.2,mozaffari2016,oort,16,4.0,0.000213623046875,0.024016939170498873,0.9411764705882353,0.01505364877485023,0.033062759430847515,True,accuracy,wilcoxon,holm
0.0,0.0,0.0,fedcs,proposed_hfl,16,4.0,0.000213623046875,-0.01586255161330081,-0.9411764705882353,-0.02240442285633473,-0.009929198491116549,True,accuracy,wilcoxon,holm
0.0,0.0,0.05,fair_mab,oort,16,4.0,0.000213623046875,0.022026949711932205,0.9411764705882353,0.014705440455983598,0.029122722589987916,True,accuracy,wilcoxon,holm
0.0,0.0,0.05,fedcs,proposed_hfl,16,4.0,0.000213623046875,-0.012533641756789081,-0.9411764705882353,-0.017486825499263472,-0.007824713459202536,True,accuracy,wilcoxon,holm
0.1,0.0,0.0,fedcs,mozaffari2016,16,4.0,0.000213623046875,-0.01672216698510142,-0.9411764705882353,-0.022758482638196763,-0.0106959912593497,True,accuracy,wilcoxon,holm
0.0,0.0,0.1,mozaffari2016,oort,16,5.0,0.00030517578125,0.022367955982113358,0.9264705882352942,0.014000445497698058,0.030537705314827187,False,accuracy,wilcoxon,holm
0.0,0.0,0.2,alzenad2017,oort,16,5.0,0.00030517578125,0.02353718258576775,0.9264705882352942,0.01543083864435072,0.03165404715198521,False,accuracy,wilcoxon,holm
0.2,0.0,0.0,fair_mab,fedcs,16,5.0,0.00030517578125,0.016906734154997563,0.9264705882352942,0.010224686196300396,0.023724358163485424,False,accuracy,wilcoxon,holm
