method,N,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,f1_survived_mean,f1_survived_std,f1_collapsed_mean,f1_collapsed_std,f1_obstructed_mean,f1_obstructed_std,f1_missing_mean,f1_missing_std,n_seeds
fair_mab,500,0.6578,0.0198,0.3563,0.0119,0.7934,0.0155,0.2011,0.0262,0.1893,0.0512,0.2414,0.0217,5
random,500,0.632,0.0332,0.3457,0.0194,0.7733,0.0264,0.1963,0.0165,0.1779,0.0835,0.2353,0.0188,5
ucb,500,0.6521,0.0436,0.3655,0.021,0.7872,0.0348,0.1945,0.0136,0.2483,0.0733,0.232,0.006,5
