harness,method,N,R_comm,seed_idx,job_seed,seed,partition_seed
coverage,fedcs,200,5000,5,55671,14113,5314
coverage,fedcs,200,5000,6,63590,5680,5315
coverage,fedcs,200,5000,7,71509,129283,5316
coverage,fedcs,200,5000,8,79428,120850,5317
coverage,fedcs,200,5000,9,87347,113509,5318
coverage,oort,200,5000,0,16076,37532,5309
coverage,oort,200,5000,1,23995,61931,5310
coverage,oort,200,5000,2,31914,53498,5311
coverage,oort,200,5000,3,39833,14281,5312
coverage,oort,200,5000,4,47752,5848,5313
coverage,oort,200,5000,5,55671,29991,5314
coverage,oort,200,5000,6,63590,21558,5315
coverage,oort,200,5000,7,71509,113413,5316
coverage,oort,200,5000,8,79428,104980,5317
coverage,oort,200,5000,9,87347,129379,5318
