N,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,metric,test,correction
200,oort,power_of_choice,10,17.0,0.322265625,0.004491650952510795,0.38181818181818183,-0.001958889574168343,0.011700676336394858,False,accuracy,wilcoxon,holm
100,fair_mab,rep_cap,10,17.0,0.322265625,-0.0028080576213806775,-0.38181818181818183,-0.00934652576928917,0.004088167337362823,False,accuracy,wilcoxon,holm
100,fair_mab,ucb,10,17.0,0.322265625,-0.003264219479396047,-0.38181818181818183,-0.008931176978074787,0.003003388006195551,False,accuracy,wilcoxon,holm
200,oort,random,10,17.0,0.322265625,0.004215024621268137,0.38181818181818183,-0.002864078405873249,0.01131823749305338,False,accuracy,wilcoxon,holm
30,fedcs,random,10,18.0,0.375,0.004136258217262656,0.34545454545454546,-0.005052695025935497,0.013032181636896262,False,accuracy,wilcoxon,holm
200,rep_cap,ucb,10,18.0,0.375,-0.006784026237842566,-0.34545454545454546,-0.01959997317181616,0.004725800010508068,False,accuracy,wilcoxon,holm
50,power_of_choice,ucb,10,18.0,0.375,0.003969583410395505,0.34545454545454546,-0.003394355649186742,0.011420949272226838,False,accuracy,wilcoxon,holm
100,power_of_choice,ucb,10,18.0,0.375,0.009308773907956059,0.34545454545454546,-0.0030821800765808522,0.02235669846869122,False,accuracy,wilcoxon,holm
200,fair_mab,oort,10,18.0,0.375,-0.0019479063510854599,-0.34545454545454546,-0.01038322325740646,0.00854074795156929,False,accuracy,wilcoxon,holm
350,fair_mab,ucb,10,18.0,0.375,-0.012346756740529452,-0.34545454545454546,-0.034245910560315125,0.006721835844829582,False,accuracy,wilcoxon,holm
50,power_of_choice,rep_cap,10,19.0,0.431640625,0.004397418426386301,0.3090909090909091,-0.0046389549886854745,0.012973641887536172,False,accuracy,wilcoxon,holm
50,oort,ucb,10,19.0,0.431640625,0.00477013117873305,0.3090909090909091,-0.0014478800539009296,0.011645569562244266,False,accuracy,wilcoxon,holm
500,fair_mab,oort,10,19.0,0.431640625,0.012843252059478661,0.3090909090909091,-0.008137374569016914,0.034954683615480486,False,accuracy,wilcoxon,holm
30,fair_mab,ucb,10,19.0,0.431640625,0.0031886731110889687,0.3090909090909091,-0.0038101362722303624,0.010156682282061402,False,accuracy,wilcoxon,holm
50,fedcs,random,10,20.0,0.4921875,0.000581371943766218,0.2727272727272727,-0.0036150944010474107,0.004149532681096605,False,accuracy,wilcoxon,holm
50,fair_mab,rep_cap,10,20.0,0.4921875,0.0009644308854041772,0.2727272727272727,-0.004187187882879105,0.005503628018060758,False,accuracy,wilcoxon,holm
200,oort,rep_cap,10,20.0,0.4921875,0.004590359571509717,0.2727272727272727,-0.0031489897143537533,0.013110063753800114,False,accuracy,wilcoxon,holm
200,random,ucb,10,20.0,0.4921875,-0.0064086912876009875,-0.2727272727272727,-0.019068588654408313,0.004102607579021343,False,accuracy,wilcoxon,holm
30,oort,power_of_choice,10,20.0,0.4921875,-0.0032463871368582755,-0.2727272727272727,-0.012215094606472085,0.006345212234535572,False,accuracy,wilcoxon,holm
30,oort,ucb,10,20.0,0.4921875,0.0046545935992601374,0.2727272727272727,-0.004634218652049092,0.014939080474115829,False,accuracy,wilcoxon,holm
30,rep_cap,ucb,10,20.0,0.4921875,0.0028098796436382576,0.2727272727272727,-0.004851324153453672,0.010230457866159854,False,accuracy,wilcoxon,holm
200,fair_mab,rep_cap,10,21.0,0.556640625,0.002642453220424257,0.23636363636363636,-0.004022405976964142,0.009262614518543833,False,accuracy,wilcoxon,holm
30,power_of_choice,random,10,21.0,0.556640625,0.008822310902625474,0.23636363636363636,-0.0048732888195425934,0.025330763751834587,False,accuracy,wilcoxon,holm
50,fair_mab,power_of_choice,10,22.0,0.625,-0.0034329875409821243,-0.2,-0.013133609174465643,0.00646759968698628,False,accuracy,wilcoxon,holm
50,oort,power_of_choice,10,22.0,0.625,0.000800547768337545,0.2,-0.005226458877438559,0.0064761393497990444,False,accuracy,wilcoxon,holm
500,oort,power_of_choice,10,22.0,0.625,0.00817191726629284,0.2,-0.012476228565601611,0.03012591973396655,False,accuracy,wilcoxon,holm
350,oort,power_of_choice,10,23.0,0.6953125,-0.004190019316401739,-0.16363636363636364,-0.01405748381983198,0.004768232447683628,False,accuracy,wilcoxon,holm
30,oort,random,10,23.0,0.6953125,0.005575923765767199,0.16363636363636364,-0.006369603949914836,0.01982205254075075,False,accuracy,wilcoxon,holm
350,fair_mab,random,10,23.0,0.6953125,-0.007118636656383548,-0.16363636363636364,-0.024743166735167042,0.008338357307918298,False,accuracy,wilcoxon,holm
30,fedcs,ucb,10,23.0,0.6953125,0.0032149280507555943,0.16363636363636364,-0.003815207103952272,0.011203630765950724,False,accuracy,wilcoxon,holm
100,rep_cap,ucb,10,24.0,0.76953125,-0.0004561618580153692,0.12727272727272726,-0.005584800060040024,0.004003579477880883,False,accuracy,wilcoxon,holm
30,random,ucb,10,24.0,0.76953125,-0.0009213301665070617,-0.12727272727272726,-0.007909456851283591,0.006212692591555863,False,accuracy,wilcoxon,holm
500,fedcs,rep_cap,10,24.0,0.76953125,0.002666949726782697,0.12727272727272726,-0.0148927229021909,0.019827377033066425,False,accuracy,wilcoxon,holm
200,fair_mab,ucb,10,24.0,0.76953125,-0.00414157301741831,-0.12727272727272726,-0.01583428785340562,0.005026038841745005,False,accuracy,wilcoxon,holm
200,fair_mab,power_of_choice,10,24.0,0.76953125,0.002543744601425335,0.12727272727272726,-0.004116596709254434,0.010147334167977369,False,accuracy,wilcoxon,holm
50,fair_mab,ucb,10,25.0,0.845703125,0.000536595869413381,0.09090909090909091,-0.006607387118296953,0.00686678633021203,False,accuracy,wilcoxon,holm
200,power_of_choice,random,10,25.0,0.845703125,-0.0002766263312426576,-0.09090909090909091,-0.004981224783062884,0.0050484656367980356,False,accuracy,wilcoxon,holm
350,fedcs,rep_cap,10,25.0,0.845703125,-0.00021416158258403818,-0.09090909090909091,-0.014978992996660948,0.015726412123254357,False,accuracy,wilcoxon,holm
30,oort,rep_cap,10,25.0,0.845703125,0.0018447139556218794,-0.09090909090909091,-0.010697808522510422,0.017010216656127616,False,accuracy,wilcoxon,holm
200,oort,ucb,10,25.0,0.845703125,-0.0021936666663328495,-0.09090909090909091,-0.013937526179485096,0.00855035080347696,False,accuracy,wilcoxon,holm
100,power_of_choice,rep_cap,10,25.0,0.845703125,0.009764935765971428,0.09090909090909091,-0.003358285813170198,0.024823217831752845,False,accuracy,wilcoxon,holm
50,rep_cap,ucb,10,25.0,0.845703125,-0.0004278350159907962,-0.09090909090909091,-0.005082020987644387,0.00445725476808438,False,accuracy,wilcoxon,holm
30,power_of_choice,rep_cap,10,25.0,0.845703125,0.005091101092480154,0.09090909090909091,-0.009857303365565187,0.02194177678207939,False,accuracy,wilcoxon,holm
30,fair_mab,power_of_choice,10,26.0,0.921875,-0.004712307625029444,-0.05454545454545454,-0.019528067390201364,0.008290656696491382,False,accuracy,wilcoxon,holm
30,fedcs,oort,10,26.0,0.921875,-0.001439665548504543,-0.05454545454545454,-0.01438263176011657,0.012129730184677275,False,accuracy,wilcoxon,holm
30,fair_mab,rep_cap,10,26.0,0.921875,0.00037879346745071094,0.05454545454545454,-0.005912189778025459,0.00635420815068261,False,accuracy,wilcoxon,holm
100,fedcs,random,10,26.0,0.921875,0.0004660585782617188,0.05454545454545454,-0.003991852218441918,0.0055547329994305745,False,accuracy,wilcoxon,holm
30,fair_mab,oort,10,27.0,1.0,-0.0014659204881711685,0.01818181818181818,-0.015067476510264272,0.010624464879523642,False,accuracy,wilcoxon,holm
30,fedcs,rep_cap,10,27.0,1.0,0.00040504840711733656,0.01818181818181818,-0.007141016867433213,0.007994392505877558,False,accuracy,wilcoxon,holm
30,fedcs,power_of_choice,10,27.0,1.0,-0.004686052685362818,0.01818181818181818,-0.018532057692279228,0.007015555464673959,False,accuracy,wilcoxon,holm
30,fair_mab,fedcs,10,27.0,1.0,-2.625493966662562e-05,-0.01818181818181818,-0.005924138657086095,0.006364446317660517,False,accuracy,wilcoxon,holm
200,fair_mab,random,10,27.0,1.0,0.0022671182701826777,0.01818181818181818,-0.005727185127541811,0.011975179165250207,False,accuracy,wilcoxon,holm
200,random,rep_cap,10,27.0,1.0,0.0003753349502415793,-0.01818181818181818,-0.007751884806654012,0.008799624640395895,False,accuracy,wilcoxon,holm
200,power_of_choice,rep_cap,10,27.0,1.0,9.870861899892169e-05,-0.01818181818181818,-0.006841838819603645,0.006974745344302431,False,accuracy,wilcoxon,holm
