scenario,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,correction_scope,reference,metric,test,correction
real_N250_K10,centroid,random,20,0.0,1.9073486328125e-06,0.2827658515842643,1.0,0.26294066908560637,0.2995054769820258,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,centroid,pso,20,0.0,1.9073486328125e-06,-0.09818766362330503,-1.0,-0.10951974982431395,-0.08828935921909896,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,mozaffari2016,pso,20,0.0,1.9073486328125e-06,-0.48425743642851204,-1.0,-0.49123054475797334,-0.4773162653656208,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,mozaffari2016,pso,20,0.0,1.9073486328125e-06,-0.30876421569925033,-1.0,-0.3213563583538481,-0.29559165499898105,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,ga,static,20,0.0,1.9073486328125e-06,0.21337121352453794,1.0,0.1919112999426065,0.23508745602003905,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,ga,random,20,0.0,1.9073486328125e-06,0.36380295278979763,1.0,0.33003692852230543,0.3950493639772049,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,mozaffari2016,pso,20,0.0,1.9073486328125e-06,-0.5727456923425063,-1.0,-0.5974805658108807,-0.5489473734159838,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,mozaffari2016,pso,20,0.0,1.9073486328125e-06,-0.3390360140779616,-1.0,-0.3767493853211221,-0.3037852663096499,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,ga,static,20,0.0,1.9073486328125e-06,0.19776489868897712,1.0,0.18107391063200545,0.21233441559662078,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,ga,random,20,0.0,1.9073486328125e-06,0.18435471470427314,1.0,0.17567769517042037,0.19334308965003424,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,ga,mozaffari2016,20,0.0,1.9073486328125e-06,0.31715802785907116,1.0,0.303375073053688,0.330867306758242,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,ga,random,20,0.0,1.9073486328125e-06,0.41362398559539937,1.0,0.38318435051777955,0.44456829443628587,True,table,,final_fitness,wilcoxon,holm
