scenario,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,correction_scope,reference,metric,test,correction
real_N250_K10,centroid,random,30,0.0,1.862645149230957e-09,0.27023103588410635,1.0,0.2569711414736116,0.2820876756015849,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,centroid,pso,30,0.0,1.862645149230957e-09,-0.10428895861491444,-1.0,-0.114347209419103,-0.09520653221357545,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,mozaffari2016,pso,30,0.0,1.862645149230957e-09,-0.48381819709065793,-1.0,-0.48902829525191416,-0.4784978745736843,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,mozaffari2016,pso,30,0.0,1.862645149230957e-09,-0.3550159842802618,-1.0,-0.39016515355767684,-0.3225731285592612,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,mozaffari2016,pso,30,0.0,1.862645149230957e-09,-0.3043973311694567,-1.0,-0.31541644246651396,-0.29342686606267604,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,mozaffari2016,pso,30,0.0,1.862645149230957e-09,-0.5655688027735388,-1.0,-0.5865543820094878,-0.5449784997494861,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,ga,static,30,0.0,1.862645149230957e-09,0.39352736748611333,1.0,0.3683808968962686,0.41701729982795094,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,ga,static,30,0.0,1.862645149230957e-09,0.2105958990695212,1.0,0.1982584929487211,0.22276417097451878,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,ga,static,30,0.0,1.862645149230957e-09,0.5612370460047468,1.0,0.5259833485074452,0.5937664302507398,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,ga,pso,30,0.0,1.862645149230957e-09,-0.05904412506265143,-1.0,-0.07502215938236063,-0.043885289349336776,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,ga,random,30,0.0,1.862645149230957e-09,0.3553559137672584,1.0,0.329430219650178,0.3796764219355363,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,ga,random,30,0.0,1.862645149230957e-09,0.4014549816343963,1.0,0.37241263256533846,0.4284675440498677,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,ga,random,30,0.0,1.862645149230957e-09,0.29553133401345705,1.0,0.2773364368923137,0.31182498817192117,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,ga,random,30,0.0,1.862645149230957e-09,0.18422758348647741,1.0,0.174372564774021,0.19592629397468234,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,mozaffari2016,static,30,0.0,1.862645149230957e-09,-0.10038898745992166,-1.0,-0.11655201007671928,-0.08436008793368191,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,mozaffari2016,random,30,0.0,1.862645149230957e-09,-0.12675730304296548,-1.0,-0.13705513686133727,-0.11623224534639007,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,mozaffari2016,random,30,0.0,1.862645149230957e-09,-0.18219287488414576,-1.0,-0.1951781654015938,-0.17077003210667469,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,mozaffari2016,random,30,0.0,1.862645149230957e-09,-0.1692776372393572,-1.0,-0.19477097305007554,-0.14401785479581863,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,pso,random,30,0.0,1.862645149230957e-09,0.39629116553418153,1.0,0.37977268195020014,0.4113993639826991,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,pso,random,30,0.0,1.862645149230957e-09,0.4604991066970478,1.0,0.43546902699728424,0.4856103681388704,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,pso,random,30,0.0,1.862645149230957e-09,0.3016253222065122,1.0,0.2875119904521439,0.313874157704006,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,pso,random,30,0.0,1.862645149230957e-09,0.17764002812649116,1.0,0.16938688030969182,0.18658476076457411,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,pso,static,30,0.0,1.862645149230957e-09,0.20400834370953505,1.0,0.19064762537658025,0.2167688840055018,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,pso,static,30,0.0,1.862645149230957e-09,0.3996213556791685,1.0,0.3749784195362938,0.4228787655874582,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,pso,static,30,0.0,1.862645149230957e-09,0.4065454443350048,1.0,0.30955013261887854,0.503152837013212,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,pso,static,30,0.0,1.862645149230957e-09,0.6021722977716699,1.0,0.5716584327482978,0.6305703263990444,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,centroid,random,30,1.0,3.725290298461914e-09,0.07335106951157672,0.9956989247311828,0.06280240976272215,0.0838796870918089,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,centroid,static,30,3.0,9.313225746154785e-09,0.0997193850946206,0.9870967741935484,0.08302234337517235,0.11485912282200159,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,centroid,pso,30,3.0,9.313225746154785e-09,-0.031394286322405845,-0.9870967741935484,-0.03817345753842531,-0.024782314399129018,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,random,static,30,3.0,9.313225746154785e-09,0.2058811322374883,0.9870967741935484,0.168630278314435,0.24113225036944883,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,alzenad2017,pso,30,4.0,1.30385160446167e-08,0.03155055616329731,0.9827956989247312,0.02410343666956222,0.03912943484620557,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,alzenad2017,mozaffari2016,30,9.0,6.146728992462158e-08,0.2189663420526422,0.9612903225806452,0.1646887058384537,0.2731827395880032,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,mozaffari2016,static,30,10.0,8.009374141693115e-08,-0.08419684141148946,-0.956989247311828,-0.10787925226843359,-0.06197041597834587,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,centroid,ga,30,16.0,3.1478703022003174e-07,0.05794413944343771,0.9311827956989247,0.040262448352685706,0.07606891937122631,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,random,static,30,16.0,3.1478703022003174e-07,0.09799603347265631,0.9311827956989247,0.07026811728111282,0.12454046887622072,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,ga,static,30,19.0,5.718320608139038e-07,0.3475013192723532,0.9182795698924732,0.2483821085602944,0.4472722881675821,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,alzenad2017,ga,30,23.0,1.1920928955078125e-06,0.04932293395126684,0.9010752688172043,0.032316853730679385,0.06758057794261052,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,alzenad2017,centroid,30,42.0,2.0798295736312866e-05,0.02248072516550668,0.8193548387096774,0.014349469360513359,0.030147209430019802,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,alzenad2017,ga,30,43.0,2.366676926612854e-05,-0.07700551716496827,-0.8150537634408602,-0.1084506587475441,-0.04741398495266407,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,alzenad2017,ga,30,45.0,3.049522638320923e-05,0.02496300080331112,0.8064516129032258,0.015677260421593356,0.0338062360537212,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,alzenad2017,static,30,49.0,4.968419671058655e-05,0.2704958021073851,0.789247311827957,0.1708444966774683,0.37167019692753755,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,ga,pso,30,74.0,0.0006665531545877457,-0.040935251766923135,-0.6817204301075269,-0.060419536372157814,-0.02285849904261479,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,centroid,pso,30,74.0,0.0006665531545877457,-0.014093042981162974,-0.6817204301075269,-0.02106681032931913,-0.00727555464942203,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,mozaffari2016,random,30,74.0,0.0006665531545877457,0.10548312241678588,0.6817204301075269,0.05320995816222099,0.1555242001629109,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,centroid,ga,30,83.0,0.0014574769884347916,-0.0253002981293507,-0.6430107526881721,-0.0379947358884561,-0.011366405436286949,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,random,static,30,90.0,0.002560090273618698,0.026368315583043856,0.6129032258064516,0.01102085126882555,0.0410277696767204,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,mozaffari2016,static,30,117.0,0.016431212425231934,0.036603494998131134,0.4967741935483871,-0.001605050700784959,0.07211268645731263,False,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,alzenad2017,pso,30,126.0,0.027741437777876854,0.008387682184343707,0.45806451612903226,0.0014499435154967514,0.015071232216390494,False,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,centroid,ga,30,144.0,0.06989291124045849,0.026842208785760158,0.38064516129032255,0.007240053995941259,0.04766271506277514,False,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,ga,pso,30,151.0,0.09610157273709774,0.0065875553599861894,0.35053763440860214,-0.0010936420972821465,0.014292876839566085,False,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,mozaffari2016,static,30,187.0,0.3598779272288084,0.05152946005474289,0.1956989247311828,-0.05919524825023823,0.16005305810899623,False,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,random,static,30,187.0,0.3598779272288084,-0.053953662362043006,-0.1956989247311828,-0.15303064810186748,0.04537948951201916,False,table,,final_fitness,wilcoxon,holm
real_N250_K10,ga,pso,30,208.0,0.6263462882488966,-0.006093988193055148,0.1053763440860215,-0.02162859995226649,0.007293276415425476,False,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,centroid,pso,30,220.0,0.8078304156661034,-0.0010999856192137206,0.053763440860215055,-0.007217774816567199,0.004399846223269757,False,table,,final_fitness,wilcoxon,holm
