method,round,accuracy,macro_f1,fairness,comm_cost
proposed,1,0.054531490015360985,0.047180835014325795,0.6857142857061225,0.48000000000000015
proposed,2,0.07603686635944701,0.052293479976012594,0.6857142857122449,0.9600000000000005
proposed,3,0.08602150537634409,0.05465255225862701,0.6857142857133787,1.4400000000000008
proposed,4,0.08755760368663594,0.05621529425481184,0.6857142857137755,1.8600000000000012
proposed,5,0.09293394777265745,0.058976293046624065,0.6857142857139592,2.3200000000000016
proposed,6,0.11290322580645161,0.07076415004842006,0.6857142857140589,2.800000000000002
proposed,7,0.20276497695852536,0.11163833440855699,0.6857142857141192,3.2800000000000025
proposed,8,0.2588325652841782,0.13850933342024097,0.6857142857141582,3.720000000000003
proposed,9,0.34408602150537637,0.16953319938965616,0.6857142857141849,4.199999999999998
proposed,10,0.3970814132104455,0.18753507648344875,0.6849460398755338,4.59999999999999
proposed,11,0.4846390168970814,0.21987210816432362,0.6834894189475156,4.979999999999982
proposed,12,0.5069124423963134,0.224306522433672,0.6814601003596358,5.379999999999973
proposed,13,0.5506912442396313,0.2389645280990924,0.6787657265976162,5.779999999999965
proposed,14,0.5660522273425499,0.24296288674297475,0.6767724994031526,6.139999999999957
proposed,15,0.5491551459293394,0.23204421858588595,0.6742007938216871,6.45999999999995
proposed,16,0.5691244239631337,0.268629815777236,0.6712696864111124,6.779999999999943
proposed,17,0.6728110599078341,0.26978725266488235,0.667889908256847,7.079999999999937
proposed,18,0.6382488479262672,0.28325253538377604,0.665652514636027,7.39999999999993
proposed,19,0.6105990783410138,0.28825585116362606,0.6626813056127476,7.679999999999924
proposed,20,0.6428571428571429,0.28403464035837034,0.6587811361622267,7.939999999999919
proposed,21,0.6459293394777266,0.27901273902148416,0.6544945772445213,8.219999999999914
proposed,22,0.6973886328725039,0.2713953971971225,0.6505612427395918,8.499999999999908
proposed,23,0.6689708141321045,0.2760247369929967,0.6470835255380201,8.759999999999902
proposed,24,0.705837173579109,0.2738759236805163,0.6443994099151933,9.039999999999896
proposed,25,0.6989247311827957,0.2515934262777087,0.6417729341048075,9.29999999999989
proposed,26,0.6689708141321045,0.25266826690031086,0.6388429970177446,9.559999999999885
proposed,27,0.7112135176651305,0.2703569376880823,0.6346274921300995,9.79999999999988
proposed,28,0.695852534562212,0.26570411958605533,0.6299830698428445,9.999999999999876
proposed,29,0.7396313364055299,0.2793494585937983,0.6252015119085426,10.199999999999871
proposed,30,0.7204301075268817,0.27061715275441517,0.620898727724316,10.399999999999867
random,1,0.0890937019969278,0.06967504314842463,0.9999999999918369,0.5000000000000001
random,2,0.08986175115207373,0.06114572518121789,0.9999999999979592,1.0000000000000004
random,3,0.13671274961597543,0.08106961968313042,0.999999999999093,1.4600000000000009
random,4,0.31643625192012287,0.17767472176217697,0.9999999999994897,1.9600000000000013
random,5,0.4055299539170507,0.21790781982894447,0.9999999999996735,2.4000000000000017
random,6,0.5276497695852534,0.25103758817345245,0.9999999999997733,2.880000000000002
random,7,0.5153609831029186,0.26848481977142546,0.9999999999998335,3.3800000000000026
random,8,0.5844854070660522,0.2900116081191703,0.9999999999998724,3.840000000000003
random,9,0.6159754224270353,0.2923586031140254,0.9996552772988949,4.319999999999996
random,10,0.5890937019969278,0.27610764856739445,0.9986232635288411,4.779999999999986
random,11,0.6658986175115207,0.29558745295530975,0.9965223488167574,5.1799999999999775
random,12,0.6566820276497696,0.2973754080646301,0.9937555966807358,5.599999999999969
random,13,0.6881720430107527,0.29346359161094604,0.9905224475110636,6.039999999999959
random,14,0.7304147465437788,0.3051248122821675,0.9870290330609858,6.419999999999951
random,15,0.6927803379416283,0.2878231537332207,0.9828322737209048,6.779999999999943
random,16,0.7104454685099847,0.288864112737438,0.9782931820629382,7.139999999999936
random,17,0.7365591397849462,0.2925087682324492,0.9735597963134373,7.459999999999929
random,18,0.7112135176651305,0.28148565004432113,0.9687207336594417,7.699999999999924
random,19,0.7235023041474654,0.28220186110294887,0.9631750934134607,7.999999999999917
random,20,0.7142857142857143,0.27691947792550403,0.9582715767871152,8.339999999999911
random,21,0.7188940092165899,0.2907473744639366,0.9535772852925795,8.599999999999905
random,22,0.6912442396313364,0.2667144452746214,0.9493845267972372,8.8399999999999
random,23,0.716589861751152,0.2751318194089401,0.9446634873383566,9.099999999999895
random,24,0.7596006144393241,0.27683206577107294,0.9401596073544759,9.33999999999989
random,25,0.7411674347158218,0.2793094464631941,0.9348373444280884,9.579999999999885
random,26,0.7519201228878648,0.2925911036795404,0.9288324985330602,9.81999999999988
random,27,0.7526881720430108,0.29855727053214176,0.9231930403962959,10.079999999999874
random,28,0.7350230414746544,0.295377024702593,0.9187430093208915,10.359999999999868
random,29,0.7619047619047619,0.29850986864129153,0.9140684246501289,10.639999999999862
random,30,0.7457757296466974,0.29330463133790285,0.9092307168397629,10.919999999999856
battery_only,1,0.0576036866359447,0.04911325920552997,0.6857142857061225,0.48000000000000015
battery_only,2,0.08064516129032258,0.0541448364878656,0.6857142857122449,0.9600000000000005
battery_only,3,0.08678955453149001,0.05739771128509101,0.6857142857133787,1.4400000000000008
