scenario,seed,grid_res,mclp_cover_norm,pso_cover_norm,pct_of_optimal,mclp_optimal,mip_gap,n_sites
uniform_N250_K10,0,20,0.5349207349008315,0.526001057491366,98.33252352591659,True,0.0,400
uniform_N250_K10,1,20,0.533957921556096,0.5430928800226634,101.7108011882183,True,0.0,400
uniform_N250_K10,2,20,0.5067932945746657,0.513601781798559,101.34344461475312,True,0.0,400
uniform_N250_K10,3,20,0.5304448793414153,0.5201174388789672,98.05306057902372,True,0.0,400
uniform_N250_K10,4,20,0.5607759791838802,0.541230326680021,96.51453463960694,True,0.0,400
uniform_N250_K10,5,20,0.5502624184705703,0.5489930070298171,99.76930798867176,True,0.0,400
uniform_N250_K10,6,20,0.5313865055671836,0.5307681204817393,99.88362800354061,True,0.0,400
uniform_N250_K10,7,20,0.5161244664103728,0.4969127971384262,96.27770614992095,True,0.0,400
uniform_N250_K10,8,20,0.5375118016458126,0.5107412824552473,95.01954764368031,True,0.0,400
uniform_N250_K10,9,20,0.5832944333903212,0.5658810562174537,97.01465054763945,True,0.0,400
uniform_N250_K10,10,20,0.5199725592105509,0.5249182477915119,100.95114415046629,True,0.0,400
uniform_N250_K10,11,20,0.5111324541947606,0.5028867046724731,98.38676854607522,True,0.0,400
uniform_N250_K10,12,20,0.5335460115655272,0.517444270109337,96.98212691929896,True,0.0,400
uniform_N250_K10,13,20,0.5510889337235059,0.544256768935995,98.76024279033359,True,0.0,400
uniform_N250_K10,14,20,0.5179597620287268,0.49765554660239253,96.07996278575628,True,0.0,400
uniform_N250_K10,15,20,0.4928774268323422,0.49751593259708143,100.94110736508067,True,0.0,400
uniform_N250_K10,16,20,0.5122605547234841,0.5164950951848141,100.82663801112224,True,0.0,400
uniform_N250_K10,17,20,0.5656466123433179,0.5353590164226454,94.64549150304298,True,0.0,400
uniform_N250_K10,18,20,0.5431878594462032,0.5104688632539072,93.97648610452117,True,0.0,400
uniform_N250_K10,19,20,0.5393042150641855,0.5265437217353407,97.6338969782897,True,0.0,400
uniform_N250_K10,20,20,0.5030734582341545,0.49957790025701626,99.30515953089474,True,0.0,400
uniform_N250_K10,21,20,0.4747108475430153,0.4845039220513275,102.06295570429846,True,0.0,400
uniform_N250_K10,22,20,0.5232371221691146,0.5083842690733309,97.16135333934065,True,0.0,400
uniform_N250_K10,23,20,0.5656626481904987,0.565388648029291,99.9515612066513,True,0.0,400
uniform_N250_K10,24,20,0.5230030296474801,0.5242125023876066,100.23125539845185,True,0.0,400
uniform_N250_K10,25,20,0.5962246345611183,0.5851052222195349,98.13502970239254,True,0.0,400
uniform_N250_K10,26,20,0.5254722448647545,0.49449124103843894,94.10415980499799,True,0.0,400
uniform_N250_K10,27,20,0.5101234250534512,0.5046285715518337,98.92283842855447,True,0.0,400
uniform_N250_K10,28,20,0.51331054558635,0.5230851225414025,101.90422289958742,True,0.0,400
uniform_N250_K10,29,20,0.5417894277892629,0.5204658640722156,96.064234068934,True,0.0,400
clustered_N250_K10,0,20,0.7221762292615798,0.7087492312184958,98.14075879279314,True,9.70687064874851e-05,400
clustered_N250_K10,1,20,0.7206932829966801,0.7197973111239581,99.87567916978544,True,2.721974068809689e-05,400
clustered_N250_K10,2,20,0.7165188521585955,0.7067654613009295,98.638780985555,True,3.653656428831492e-05,400
clustered_N250_K10,3,20,0.7041529160455855,0.7004380321120706,99.47243221623265,True,9.778014682914781e-05,400
clustered_N250_K10,4,20,0.7113756833741335,0.7101627934388228,99.82950078788781,True,7.674692549191379e-05,400
clustered_N250_K10,5,20,0.705087090691387,0.7080489642511335,100.42007201647137,True,9.373357711922026e-05,400
clustered_N250_K10,6,20,0.7239914316839634,0.7105994516106712,98.15025710426666,True,7.420779569956829e-05,400
clustered_N250_K10,7,20,0.7195702081739621,0.7072353583635462,98.28580315439716,True,9.983190393486656e-05,400
clustered_N250_K10,8,20,0.7305189515600137,0.7289053313397167,99.77911316101368,True,4.5841769688983444e-05,400
clustered_N250_K10,9,20,0.7408870087484992,0.7418016947672201,100.12345823424087,True,9.994277199254372e-05,400
clustered_N250_K10,10,20,0.7259089973396261,0.7237580553413555,99.70368985559436,True,7.670550032327613e-05,400
clustered_N250_K10,11,20,0.7252374765111776,0.7134316257315683,98.37214000076189,True,9.968010576709592e-05,400
clustered_N250_K10,12,20,0.7197887035069862,0.7187088200356426,99.84997215626167,True,9.309494947669777e-05,400
clustered_N250_K10,13,20,0.7281032819371803,0.7211258472589791,99.04169712576528,True,9.671926919650067e-05,400
clustered_N250_K10,14,20,0.7246872224784555,0.7090223345894776,97.83839325393328,True,0.0,400
clustered_N250_K10,15,20,0.7070211336433923,0.706772556212906,99.9648415841256,True,9.521033353166585e-05,400
clustered_N250_K10,16,20,0.7188493829222197,0.7089043582839307,98.61653569237812,True,8.972872585836982e-05,400
clustered_N250_K10,17,20,0.7457447944749204,0.7451377868576101,99.91860384117898,True,9.811416949431572e-05,400
clustered_N250_K10,18,20,0.7398100691530382,0.714442406333764,96.57105737310171,True,9.959394409404438e-05,400
clustered_N250_K10,19,20,0.6947074527403095,0.6926695308925696,99.70665035480744,True,9.889627397260548e-05,400
clustered_N250_K10,20,20,0.7082735266995838,0.6996665977785529,98.78480154960224,True,9.812417529547373e-05,400
clustered_N250_K10,21,20,0.7296692850797784,0.7353465801094429,100.77806413751453,True,3.7868214222672405e-06,400
clustered_N250_K10,22,20,0.7268474313430101,0.7270571932725142,100.02885914161057,True,6.543547643526887e-05,400
clustered_N250_K10,23,20,0.7299766163278961,0.7282983665500175,99.77009540575135,True,9.74921877605771e-05,400
clustered_N250_K10,24,20,0.7116901240832152,0.7112981345278289,99.94492131587587,True,9.80897551506029e-05,400
clustered_N250_K10,25,20,0.7093897070963081,0.7087401627338581,99.90843617324126,True,8.388949552456859e-05,400
clustered_N250_K10,26,20,0.7310796998764253,0.7357455105209265,100.63820820702448,True,0.0,400
clustered_N250_K10,27,20,0.7069149364565238,0.7032834895771186,99.48629648460845,True,8.673560826229802e-05,400
clustered_N250_K10,28,20,0.7223647459195204,0.7220814529246875,99.96078255529038,True,0.0,400
clustered_N250_K10,29,20,0.7437133245821409,0.7426179528928037,99.8527158714075,True,0.0,400
epicenter_biased_N250_K10,0,20,0.7167143423769082,0.7166800720641247,99.99521841398207,True,0.0,400
epicenter_biased_N250_K10,1,20,0.730522967655333,0.7305001668987958,99.99687884467065,True,0.0,400
epicenter_biased_N250_K10,2,20,0.7263356606809347,0.7265492744814459,100.02940979110278,True,0.0,400
epicenter_biased_N250_K10,3,20,0.7335556319423585,0.7333997109304322,99.9787444871068,True,0.0,400
epicenter_biased_N250_K10,4,20,0.7248786545189719,0.7247334594066268,99.97996973542537,True,0.0,400
epicenter_biased_N250_K10,5,20,0.7336880374547267,0.7335357078793022,99.9792378275714,True,0.0,400
epicenter_biased_N250_K10,6,20,0.7294090886441098,0.7292566880082548,99.97910628778449,True,3.451864110060044e-05,400
epicenter_biased_N250_K10,7,20,0.7137846776524882,0.7137033767957721,99.98860989045274,True,0.0,400
epicenter_biased_N250_K10,8,20,0.7219455613562227,0.721810598486603,99.98130567222185,True,0.0,400
epicenter_biased_N250_K10,9,20,0.7279681035527963,0.7279681035527963,100.0,True,0.0,400
epicenter_biased_N250_K10,10,20,0.7248406903287279,0.7248252227264997,99.99786606871902,True,0.0,400
epicenter_biased_N250_K10,11,20,0.7281025278568308,0.7280765760479422,99.99643569306578,True,0.0,400
epicenter_biased_N250_K10,12,20,0.7313621530107013,0.731296866609598,99.9910733142487,True,0.0,400
epicenter_biased_N250_K10,13,20,0.7293665021019339,0.7292495095461801,99.98395970264379,True,0.0,400
epicenter_biased_N250_K10,14,20,0.7320956389816743,0.7316248175484167,99.93568853464112,True,0.0,400
epicenter_biased_N250_K10,15,20,0.726049905823265,0.7260333755048575,99.99772325314349,True,0.0,400
epicenter_biased_N250_K10,16,20,0.7255320618428936,0.7255079298555421,99.99667389098005,True,0.0,400
epicenter_biased_N250_K10,17,20,0.7446410295793718,0.7448842166222993,100.0326582921525,True,0.0,400
epicenter_biased_N250_K10,18,20,0.7352666744007479,0.735315570400338,100.00665010414487,True,0.0,400
epicenter_biased_N250_K10,19,20,0.7152345421118704,0.7151356793093802,99.98617756880164,True,0.0,400
epicenter_biased_N250_K10,20,20,0.720989472397608,0.7206801709245394,99.95710041756365,True,0.0,400
epicenter_biased_N250_K10,21,20,0.7256073121926405,0.7254189386668505,99.97403919136084,True,0.0,400
epicenter_biased_N250_K10,22,20,0.7185893016673623,0.7185893016673623,99.99999999999999,True,0.0,400
epicenter_biased_N250_K10,23,20,0.7279336725769289,0.7278709603178515,99.99138489378362,True,0.0,400
epicenter_biased_N250_K10,24,20,0.7162715819910693,0.7162313156441831,99.9943783408558,True,0.0,400
epicenter_biased_N250_K10,25,20,0.7167707691152104,0.7168996385134447,100.01797916485816,True,5.441724387418273e-05,400
epicenter_biased_N250_K10,26,20,0.722537290995291,0.7231532714435653,100.08525240924601,True,0.0,400
epicenter_biased_N250_K10,27,20,0.7203083439034957,0.7202836178042332,99.9965672896237,True,0.0,400
epicenter_biased_N250_K10,28,20,0.7313929261049091,0.7313775334000233,99.99789542606493,True,0.0,400
epicenter_biased_N250_K10,29,20,0.7111604397765612,0.7110857217571326,99.98949350733682,True,0.0,400
real_N250_K10,0,20,0.6627811492901975,0.6677709862105373,100.75286343398326,True,0.0,400
real_N250_K10,1,20,0.6459437093781958,0.638648670694376,98.87063863647775,True,0.0,400
real_N250_K10,2,20,0.6663296849113236,0.6677257456794266,100.20951501932392,True,0.0,400
real_N250_K10,3,20,0.6556912604907696,0.6666329360492786,101.66872371462132,True,7.108139227189293e-05,400
real_N250_K10,4,20,0.6597294630063107,0.6547194724760897,99.24059924390961,True,9.821113739929744e-05,400
real_N250_K10,5,20,0.6665434638138088,0.6728666111618532,100.94864741630872,True,9.490489880447774e-05,400
real_N250_K10,6,20,0.6722872550729058,0.6615210845772591,98.39857584471402,True,9.157745986906018e-05,400
real_N250_K10,7,20,0.6731689979646355,0.6683143194276485,99.27883212808888,True,0.0,400
real_N250_K10,8,20,0.6713900006481336,0.654497942150169,97.48401696753635,True,0.0,400
real_N250_K10,9,20,0.6500109696650138,0.6503784353809335,100.05653223300357,True,1.0415988331463659e-05,400
real_N250_K10,10,20,0.6673230147186456,0.6613785359915618,99.10920519808685,True,0.0,400
real_N250_K10,11,20,0.6522581081874006,0.6622305102389824,101.52890426755977,True,0.0,400
real_N250_K10,12,20,0.6643915733954533,0.6736420859157619,101.39232839348529,True,8.938492698424355e-05,400
real_N250_K10,13,20,0.6573066587181133,0.679202759199661,103.33118494862804,True,0.0,400
real_N250_K10,14,20,0.6663516740808817,0.6808626420123766,102.17767411652567,True,7.48854170562443e-05,400
real_N250_K10,15,20,0.6674780279498569,0.671534988531667,100.60780436387863,True,0.0,400
real_N250_K10,16,20,0.6572279196686329,0.664219194634153,101.06375197344705,True,8.13810772779976e-05,400
real_N250_K10,17,20,0.6747972295155936,0.6756298820344581,100.12339299606523,True,8.597016756443782e-05,400
real_N250_K10,18,20,0.6579432410362368,0.6548848503577468,99.53515888791969,True,9.968354830310393e-05,400
real_N250_K10,19,20,0.6639527253292244,0.6666802679306901,100.41080373608125,True,0.0,400
real_N250_K10,20,20,0.6571022208541569,0.6452029047681627,98.18912252791864,True,8.813932651384818e-05,400
real_N250_K10,21,20,0.6641782407498826,0.6613191636256165,99.56953164845659,True,8.731831919618349e-05,400
real_N250_K10,22,20,0.6723593807710773,0.6977987579458195,103.78359816227561,True,0.0,400
real_N250_K10,23,20,0.6444468558899783,0.6655856222748353,103.28014113059245,True,4.603852105174805e-05,400
real_N250_K10,24,20,0.6525173465110177,0.6600564127015841,101.15538172753222,True,6.110815371000973e-05,400
real_N250_K10,25,20,0.6526981399321806,0.6432356928764469,98.55025677616962,True,9.471417613625264e-05,400
real_N250_K10,26,20,0.6778878618003131,0.6770467327838038,99.87591915065784,True,0.0,400
real_N250_K10,27,20,0.6670532212595294,0.6682819015229726,100.18419523724408,True,4.2837060483537324e-05,400
real_N250_K10,28,20,0.6605279998716137,0.6751124656606778,102.20800114331246,True,0.0,400
real_N250_K10,29,20,0.6711812810495328,0.6656520048611667,99.17618736629247,True,1.0525142742361664e-05,400
uniform_N250_K10,0,30,0.5387059565743266,0.526001057491366,97.64158927000695,True,0.0,900
uniform_N250_K10,1,30,0.553272390595387,0.5430928800226634,98.16012677557084,True,0.0,900
uniform_N250_K10,2,30,0.5334749158455534,0.513601781798559,96.27477629093475,True,0.0,900
uniform_N250_K10,3,30,0.529871049613964,0.5201174388789672,98.15924822801647,True,0.0,900
uniform_N250_K10,4,30,0.5699778584740051,0.541230326680021,94.95637745105583,True,0.0,900
uniform_N250_K10,5,30,0.58403324288105,0.5489930070298171,94.0003011338227,True,0.0,900
uniform_N250_K10,6,30,0.5365541294804584,0.5307681204817393,98.92163554787628,True,0.0,900
uniform_N250_K10,7,30,0.5505441098409248,0.4969127971384262,90.2584894209485,True,0.0,900
uniform_N250_K10,8,30,0.5564262290754439,0.5107412824552473,91.78957708444001,True,0.0,900
uniform_N250_K10,9,30,0.615204780917872,0.5658810562174537,91.98255178920611,True,0.0,900
clustered_N250_K10,0,30,0.7265459376295988,0.7087492312184958,97.55050500052812,True,9.081516395364229e-05,900
clustered_N250_K10,1,30,0.7212522353488553,0.7197973111239581,99.79827802901804,True,9.81747692506911e-05,900
clustered_N250_K10,2,30,0.7185416283711084,0.7067654613009295,98.3611016251244,True,8.437092825078088e-05,900
clustered_N250_K10,3,30,0.7061718400939404,0.7004380321120706,99.18804352477338,True,4.9337912947444556e-05,900
clustered_N250_K10,4,30,0.7124184378835723,0.7101627934388228,99.68338207929452,True,9.54486249646904e-05,900
clustered_N250_K10,5,30,0.7078284944806925,0.7080489642511335,100.03114734319968,True,9.656756418951646e-05,900
clustered_N250_K10,6,30,0.7303232238721952,0.7105994516106712,97.29930918026295,True,9.911691360764835e-05,900
clustered_N250_K10,7,30,,0.7072353583635462,,False,,900
clustered_N250_K10,8,30,0.7312984478095839,0.7289053313397167,99.67275789015619,True,9.781583691169507e-05,900
clustered_N250_K10,9,30,,0.7418016947672201,,False,,900
epicenter_biased_N250_K10,0,30,0.7167143423769082,0.7166800720641247,99.99521841398207,True,0.0,900
epicenter_biased_N250_K10,1,30,0.730522967655333,0.7305001668987958,99.99687884467065,True,1.1911512477374742e-05,900
epicenter_biased_N250_K10,2,30,0.7267339479126033,0.7265492744814459,99.97458857788496,True,0.0,900
epicenter_biased_N250_K10,3,30,0.7336066452554653,0.7333997109304322,99.97179219594432,True,0.0,900
epicenter_biased_N250_K10,4,30,0.7248786545189719,0.7247334594066268,99.97996973542537,True,0.0,900
epicenter_biased_N250_K10,5,30,0.7336880374547267,0.7335357078793022,99.9792378275714,True,0.0,900
epicenter_biased_N250_K10,6,30,0.7293067135141116,0.7292566880082548,99.99314067662756,True,3.200954088618609e-05,900
epicenter_biased_N250_K10,7,30,0.7137846776524882,0.7137033767957721,99.98860989045274,True,0.0,900
epicenter_biased_N250_K10,8,30,0.7219455613562227,0.721810598486603,99.98130567222185,True,1.6678846382269363e-16,900
epicenter_biased_N250_K10,9,30,0.7279681035527963,0.7279681035527963,100.0,True,0.0,900
real_N250_K10,0,30,0.6829306801018009,0.6677709862105373,97.78020019703848,True,0.0,900
real_N250_K10,1,30,0.668946060121088,0.638648670694376,95.4708770657491,True,0.0,900
real_N250_K10,2,30,0.6782866443156129,0.6677257456794266,98.44300359962973,True,9.120030958673489e-05,900
real_N250_K10,3,30,0.6814214353254934,0.6666329360492786,97.82975725306457,True,0.0,900
real_N250_K10,4,30,0.676735432359355,0.6547194724760897,96.74674047928757,True,8.288994999541424e-05,900
real_N250_K10,5,30,0.6893175853660631,0.6728666111618532,97.61344051661273,True,8.654602483732106e-05,900
real_N250_K10,6,30,0.6935444695926383,0.6615210845772591,95.38264863762977,True,6.874091831099392e-05,900
real_N250_K10,7,30,0.6917478917318771,0.6683143194276485,96.61241146025617,True,7.667722387030714e-05,900
real_N250_K10,8,30,0.6878201459025471,0.654497942150169,95.15538997354413,True,9.134492589026937e-05,900
real_N250_K10,9,30,0.6688722492907535,0.6503784353809335,97.23507531827937,True,0.0,900
uniform_N250_K10,0,45,0.5636037885125648,0.526001057491366,93.32816212601445,True,2.4706447576862956e-05,2025
uniform_N250_K10,1,45,0.564690103712543,0.5430928800226634,96.175384773367,True,0.0,2025
uniform_N250_K10,2,45,0.5558266146378248,0.513601781798559,92.40323659802088,True,0.0,2025
uniform_N250_K10,3,45,0.5398029374065303,0.5201174388789672,96.35320648269504,True,2.2892994956129213e-06,2025
uniform_N250_K10,4,45,0.58258219195801,0.541230326680021,92.90196888116185,True,0.0,2025
uniform_N250_K10,5,45,0.5881909151111357,0.5489930070298171,93.33585285418556,True,0.0,2025
uniform_N250_K10,6,45,0.5532765856799612,0.5307681204817393,95.93178786509469,True,0.0,2025
uniform_N250_K10,7,45,0.5591961565051974,0.4969127971384262,88.8619836452341,True,0.0,2025
uniform_N250_K10,8,45,0.5711868490323492,0.5107412824552473,89.41754932216962,True,4.160583369654595e-05,2025
uniform_N250_K10,9,45,0.6200293734184236,0.5658810562174537,91.2668141990705,True,0.0,2025
clustered_N250_K10,0,45,,0.7087492312184958,,False,,2025
clustered_N250_K10,1,45,0.724046723091159,0.7197973111239581,99.41310252064135,True,1.919029566320148e-05,2025
clustered_N250_K10,2,45,,0.7067654613009295,,False,,2025
clustered_N250_K10,3,45,0.7076091866234211,0.7004380321120706,98.98656565701614,True,9.919214373403504e-05,2025
clustered_N250_K10,4,45,,0.7101627934388228,,False,,2025
clustered_N250_K10,5,45,0.7110321324514497,0.7080489642511335,99.58044537452464,True,9.954363023510808e-05,2025
clustered_N250_K10,6,45,,0.7105994516106712,,False,,2025
clustered_N250_K10,7,45,,0.7072353583635462,,False,,2025
clustered_N250_K10,8,45,,0.7289053313397167,,False,,2025
clustered_N250_K10,9,45,,0.7418016947672201,,False,,2025
epicenter_biased_N250_K10,0,45,0.7167143423769082,0.7166800720641247,99.99521841398207,True,3.879656672080555e-05,2025
epicenter_biased_N250_K10,1,45,0.730522967655333,0.7305001668987958,99.99687884467065,True,0.0,2025
epicenter_biased_N250_K10,2,45,0.7267339479126033,0.7265492744814459,99.97458857788496,True,0.0,2025
epicenter_biased_N250_K10,3,45,0.7336066452554653,0.7333997109304322,99.97179219594432,True,0.0,2025
epicenter_biased_N250_K10,4,45,0.7248786545189719,0.7247334594066268,99.97996973542537,True,0.0,2025
epicenter_biased_N250_K10,5,45,0.7336880374547267,0.7335357078793022,99.9792378275714,True,0.0,2025
epicenter_biased_N250_K10,6,45,0.7294354353180084,0.7292566880082548,99.97549511566083,True,0.0,2025
epicenter_biased_N250_K10,7,45,0.7137846776524882,0.7137033767957721,99.98860989045274,True,0.0,2025
epicenter_biased_N250_K10,8,45,0.7219455613562227,0.721810598486603,99.98130567222185,True,0.0,2025
epicenter_biased_N250_K10,9,45,0.7279681035527963,0.7279681035527963,100.0,True,0.0,2025
real_N250_K10,0,45,,0.6677709862105373,,False,,2025
real_N250_K10,1,45,0.6803982049852152,0.638648670694376,93.8639558445416,True,5.791099106704646e-06,2025
real_N250_K10,2,45,,0.6677257456794266,,False,,2025
real_N250_K10,3,45,,0.6666329360492786,,False,,2025
real_N250_K10,4,45,,0.6547194724760897,,False,,2025
real_N250_K10,5,45,0.7032179553346319,0.6728666111618532,95.68393498167494,True,8.774516386300401e-05,2025
real_N250_K10,6,45,,0.6615210845772591,,False,,2025
real_N250_K10,7,45,,0.6683143194276485,,False,,2025
real_N250_K10,8,45,,0.654497942150169,,False,,2025
real_N250_K10,9,45,,0.6503784353809335,,False,,2025
