scenario,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,correction_scope,reference,metric,test,correction
epicenter_biased_N250_K10,centroid,pso,30,0.0,1.862645149230957e-09,-0.03856452969747172,-1.0,-0.04588226666179217,-0.031356163882304486,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,centroid,pso,30,0.0,1.862645149230957e-09,-0.034571932756943695,-1.0,-0.04197616128672832,-0.027896295395309946,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,mozaffari2016,pso,30,0.0,1.862645149230957e-09,-0.4370283568696116,-1.0,-0.4407935097698895,-0.4332514292286853,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,mozaffari2016,pso,30,0.0,1.862645149230957e-09,-0.29016384694177083,-1.0,-0.311602980547302,-0.26975683642727805,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,mozaffari2016,pso,30,0.0,1.862645149230957e-09,-0.3032594249232735,-1.0,-0.3125399414224559,-0.29388479241289095,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,ga,random,30,0.0,1.862645149230957e-09,0.2708024268525654,1.0,0.25152396629393203,0.28906282329371596,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,mozaffari2016,pso,30,0.0,1.862645149230957e-09,-0.4381081834955414,-1.0,-0.4562149540018164,-0.42018021816016643,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,ga,static,30,0.0,1.862645149230957e-09,0.20904036861263034,1.0,0.196056225792911,0.2217044073977265,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,ga,static,30,0.0,1.862645149230957e-09,0.3389670677413437,1.0,0.3139546531570309,0.3622025790432289,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,ga,static,30,0.0,1.862645149230957e-09,0.43253150357443243,1.0,0.40182532710285396,0.4616813375462061,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,ga,random,30,0.0,1.862645149230957e-09,0.2488804159182677,1.0,0.23355503170161326,0.26336990203586075,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,ga,random,30,0.0,1.862645149230957e-09,0.3046440793848879,1.0,0.2865436466577677,0.3227854387582665,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,ga,random,30,0.0,1.862645149230957e-09,0.1825708522041416,1.0,0.17416396217894944,0.19181024579132966,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,pso,random,30,0.0,1.862645149230957e-09,0.17653708469375093,1.0,0.16854066797061865,0.18503473168828805,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,mozaffari2016,static,30,0.0,1.862645149230957e-09,-0.10025282382103387,-1.0,-0.11628031660118568,-0.08432667441236341,True,table,,final_fitness,wilcoxon,holm
