method,coverage_pct,participation_pct,comm_mb_round,cumulative_energy_j,round_time_s,placement_fitness,jain_fairness,rounds_to_target
alzenad2017,25.5,8.3917,4.5056,228000.0,1.4038,0.2274,0.2341,
centralized,100.0,,0.0,0.0,20.8779,1.0,,
fair_mab,92.9875,24.1917,12.4886,2446713.1002,4.7981,0.7808,0.6977,
hfl_no_reputation,92.8167,23.7542,12.7592,2970501.5216,4.7718,0.7802,0.7079,69.2
hfl_no_selection,92.6625,30.5292,15.0593,2461891.5094,5.7657,0.7799,0.8274,60.9643
hfl_static,91.8167,23.0167,12.245,0.0,4.4031,0.7779,0.6729,69.2
mozaffari2016,44.225,11.6542,6.224,230700.0,2.3949,0.2916,0.3534,
power_of_choice,93.7958,24.3583,12.5156,2833191.0321,4.7144,0.7802,0.7,92.5
rep_cap,93.4667,23.15,12.1097,1725818.1619,4.5947,0.7798,0.6997,74.6667
