harness,method,N,seed_idx,job_seed,seed,partition_seed
paper_sweep,hfl_static,50,8,74778,98603,5317
paper_sweep,hfl_static,50,9,82697,124472,5318
paper_sweep,hfl_no_reputation,50,0,11426,24948,5309
paper_sweep,hfl_no_reputation,50,1,19345,1607,5310
paper_sweep,hfl_no_reputation,50,2,27264,10070,5311
paper_sweep,hfl_no_reputation,50,3,35183,50361,5312
paper_sweep,hfl_no_reputation,50,4,43102,58760,5313
paper_sweep,hfl_no_reputation,50,5,51021,35483,5314
paper_sweep,hfl_no_reputation,50,6,58940,44010,5315
paper_sweep,hfl_no_reputation,50,7,66859,84221,5316
paper_sweep,hfl_no_reputation,50,8,74778,92620,5317
paper_sweep,hfl_no_reputation,50,9,82697,69343,5318
paper_sweep,rep_cap,50,0,11426,13092,5309
paper_sweep,rep_cap,50,1,19345,21527,5310
paper_sweep,rep_cap,50,2,27264,29958,5311
paper_sweep,rep_cap,50,3,35183,38633,5312
paper_sweep,rep_cap,50,4,43102,47064,5313
paper_sweep,rep_cap,50,5,51021,55499,5314
paper_sweep,rep_cap,50,6,58940,63930,5315
paper_sweep,rep_cap,50,7,66859,72365,5316
paper_sweep,rep_cap,50,8,74778,80796,5317
paper_sweep,rep_cap,50,9,82697,89231,5318
paper_sweep,fair_mab,50,0,11426,19368,5309
paper_sweep,fair_mab,50,1,19345,11419,5310
paper_sweep,fair_mab,50,2,27264,3466,5311
paper_sweep,fair_mab,50,3,35183,61029,5312
paper_sweep,fair_mab,50,4,43102,53076,5313
paper_sweep,fair_mab,50,5,51021,41031,5314
paper_sweep,fair_mab,50,6,58940,33078,5315
paper_sweep,fair_mab,50,7,66859,90657,5316
paper_sweep,fair_mab,50,8,74778,82704,5317
paper_sweep,fair_mab,50,9,82697,74755,5318
paper_sweep,power_of_choice,50,0,11426,52481,5309
paper_sweep,power_of_choice,50,1,19345,43570,5310
paper_sweep,power_of_choice,50,2,27264,35619,5311
paper_sweep,power_of_choice,50,3,35183,26828,5312
paper_sweep,power_of_choice,50,4,43102,18941,5313
paper_sweep,power_of_choice,50,5,51021,9966,5314
paper_sweep,power_of_choice,50,6,58940,1951,5315
paper_sweep,power_of_choice,50,7,66859,124040,5316
paper_sweep,power_of_choice,50,8,74778,116153,5317
paper_sweep,power_of_choice,50,9,82697,107178,5318
paper_sweep,mozaffari2016,50,0,11426,30961,5309
paper_sweep,mozaffari2016,50,1,19345,8130,5310
paper_sweep,mozaffari2016,50,2,27264,16083,5311
paper_sweep,mozaffari2016,50,3,35183,56636,5312
paper_sweep,mozaffari2016,50,4,43102,64525,5313
paper_sweep,mozaffari2016,50,5,51021,37662,5314
paper_sweep,mozaffari2016,50,6,58940,45679,5315
paper_sweep,mozaffari2016,50,7,66859,86392,5316
paper_sweep,mozaffari2016,50,8,74778,94281,5317
paper_sweep,mozaffari2016,50,9,82697,71514,5318
paper_sweep,alzenad2017,50,0,11426,28858,5309
paper_sweep,alzenad2017,50,1,19345,6025,5310
paper_sweep,alzenad2017,50,2,27264,13976,5311
paper_sweep,alzenad2017,50,3,35183,54647,5312
paper_sweep,alzenad2017,50,4,43102,62534,5313
paper_sweep,alzenad2017,50,5,51021,39765,5314
paper_sweep,alzenad2017,50,6,58940,47652,5315
paper_sweep,alzenad2017,50,7,66859,88371,5316
paper_sweep,alzenad2017,50,8,74778,96258,5317
paper_sweep,alzenad2017,50,9,82697,73489,5318
paper_sweep,centralized,100,0,12976,49396,5309
paper_sweep,centralized,100,1,20895,41947,5310
paper_sweep,centralized,100,2,28814,33482,5311
paper_sweep,centralized,100,3,36733,32057,5312
paper_sweep,centralized,100,4,44652,23592,5313
paper_sweep,centralized,100,5,52571,16159,5314
paper_sweep,centralized,100,6,60490,7694,5315
paper_sweep,centralized,100,7,68409,129405,5316
paper_sweep,centralized,100,8,76328,120940,5317
paper_sweep,centralized,100,9,84247,113491,5318
paper_sweep,hfl_no_selection,100,0,12976,21250,5309
paper_sweep,hfl_no_selection,100,1,20895,12333,5310
paper_sweep,hfl_no_selection,100,2,28814,4412,5311
paper_sweep,hfl_no_selection,100,3,36733,61135,5312
paper_sweep,hfl_no_selection,100,4,44652,53214,5313
paper_sweep,hfl_no_selection,100,5,52571,44265,5314
paper_sweep,hfl_no_selection,100,6,60490,36344,5315
paper_sweep,hfl_no_selection,100,7,68409,92811,5316
paper_sweep,hfl_no_selection,100,8,76328,84890,5317
paper_sweep,hfl_no_selection,100,9,84247,75941,5318
paper_sweep,hfl_static,100,0,12976,38785,5309
paper_sweep,hfl_static,100,1,20895,62638,5310
paper_sweep,hfl_static,100,2,28814,54719,5311
paper_sweep,hfl_static,100,3,36733,10828,5312
paper_sweep,hfl_static,100,4,44652,2909,5313
paper_sweep,hfl_static,100,5,52571,26730,5314
paper_sweep,hfl_static,100,6,60490,18811,5315
paper_sweep,hfl_static,100,7,68409,110088,5316
paper_sweep,hfl_static,100,8,76328,102169,5317
paper_sweep,hfl_static,100,9,84247,125990,5318
paper_sweep,hfl_no_reputation,100,0,12976,32614,5309
paper_sweep,hfl_no_reputation,100,1,20895,7241,5310
paper_sweep,hfl_no_reputation,100,2,28814,15704,5311
paper_sweep,hfl_no_reputation,100,3,36733,49835,5312
paper_sweep,hfl_no_reputation,100,4,44652,58298,5313
paper_sweep,hfl_no_reputation,100,5,52571,32909,5314
paper_sweep,hfl_no_reputation,100,6,60490,41372,5315
paper_sweep,hfl_no_reputation,100,7,68409,83695,5316
paper_sweep,hfl_no_reputation,100,8,76328,92158,5317
paper_sweep,hfl_no_reputation,100,9,84247,66753,5318
paper_sweep,rep_cap,100,0,12976,11574,5309
paper_sweep,rep_cap,100,1,20895,19993,5310
paper_sweep,rep_cap,100,2,28814,28424,5311
paper_sweep,rep_cap,100,3,36733,37115,5312
paper_sweep,rep_cap,100,4,44652,45546,5313
paper_sweep,rep_cap,100,5,52571,53981,5314
paper_sweep,rep_cap,100,6,60490,62412,5315
paper_sweep,rep_cap,100,7,68409,70847,5316
paper_sweep,rep_cap,100,8,76328,79278,5317
paper_sweep,rep_cap,100,9,84247,87697,5318
paper_sweep,fair_mab,100,0,12976,21946,5309
paper_sweep,fair_mab,100,1,20895,13973,5310
paper_sweep,fair_mab,100,2,28814,6020,5311
paper_sweep,fair_mab,100,3,36733,59511,5312
paper_sweep,fair_mab,100,4,44652,51558,5313
paper_sweep,fair_mab,100,5,52571,43601,5314
paper_sweep,fair_mab,100,6,60490,35648,5315
paper_sweep,fair_mab,100,7,68409,93235,5316
paper_sweep,fair_mab,100,8,76328,85282,5317
paper_sweep,fair_mab,100,9,84247,77341,5318
paper_sweep,power_of_choice,100,0,12976,54035,5309
paper_sweep,power_of_choice,100,1,20895,45116,5310
paper_sweep,power_of_choice,100,2,28814,37165,5311
paper_sweep,power_of_choice,100,3,36733,28382,5312
paper_sweep,power_of_choice,100,4,44652,20431,5313
paper_sweep,power_of_choice,100,5,52571,11512,5314
paper_sweep,power_of_choice,100,6,60490,3561,5315
paper_sweep,power_of_choice,100,7,68409,125594,5316
paper_sweep,power_of_choice,100,8,76328,117643,5317
paper_sweep,power_of_choice,100,9,84247,108724,5318
paper_sweep,mozaffari2016,100,0,12976,26339,5309
paper_sweep,mozaffari2016,100,1,20895,1484,5310
paper_sweep,mozaffari2016,100,2,28814,9437,5311
paper_sweep,mozaffari2016,100,3,36733,56110,5312
paper_sweep,mozaffari2016,100,4,44652,64063,5313
paper_sweep,mozaffari2016,100,5,52571,39176,5314
paper_sweep,mozaffari2016,100,6,60490,47129,5315
paper_sweep,mozaffari2016,100,7,68409,89962,5316
paper_sweep,mozaffari2016,100,8,76328,97915,5317
paper_sweep,mozaffari2016,100,9,84247,73028,5318
paper_sweep,alzenad2017,100,0,12976,28328,5309
paper_sweep,alzenad2017,100,1,20895,3463,5310
paper_sweep,alzenad2017,100,2,28814,11414,5311
paper_sweep,alzenad2017,100,3,36733,54117,5312
paper_sweep,alzenad2017,100,4,44652,62068,5313
paper_sweep,alzenad2017,100,5,52571,37187,5314
paper_sweep,alzenad2017,100,6,60490,45138,5315
paper_sweep,alzenad2017,100,7,68409,87841,5316
paper_sweep,alzenad2017,100,8,76328,95792,5317
paper_sweep,alzenad2017,100,9,84247,70927,5318
paper_sweep,centralized,200,0,16076,52360,5309
paper_sweep,centralized,200,1,23995,45055,5310
paper_sweep,centralized,200,2,31914,36590,5311
paper_sweep,centralized,200,3,39833,27101,5312
paper_sweep,centralized,200,4,47752,18636,5313
paper_sweep,centralized,200,5,55671,11059,5314
paper_sweep,centralized,200,6,63590,2594,5315
paper_sweep,centralized,200,7,71509,124177,5316
paper_sweep,centralized,200,8,79428,115712,5317
paper_sweep,centralized,200,9,87347,108407,5318
paper_sweep,hfl_no_selection,200,0,16076,24446,5309
paper_sweep,hfl_no_selection,200,1,23995,15369,5310
paper_sweep,hfl_no_selection,200,2,31914,7448,5311
paper_sweep,hfl_no_selection,200,3,39833,64043,5312
paper_sweep,hfl_no_selection,200,4,47752,56122,5313
paper_sweep,hfl_no_selection,200,5,55671,47301,5314
paper_sweep,hfl_no_selection,200,6,63590,39380,5315
paper_sweep,hfl_no_selection,200,7,71509,95975,5316
paper_sweep,hfl_no_selection,200,8,79428,88054,5317
paper_sweep,hfl_no_selection,200,9,87347,78977,5318
paper_sweep,hfl_static,200,0,16076,39933,5309
paper_sweep,hfl_static,200,1,23995,63626,5310
paper_sweep,hfl_static,200,2,31914,55707,5311
paper_sweep,hfl_static,200,3,39833,16040,5312
paper_sweep,hfl_static,200,4,47752,8121,5313
paper_sweep,hfl_static,200,5,55671,31814,5314
paper_sweep,hfl_static,200,6,63590,23895,5315
paper_sweep,hfl_static,200,7,71509,111204,5316
paper_sweep,hfl_static,200,8,79428,103285,5317
paper_sweep,hfl_static,200,9,87347,126978,5318
paper_sweep,hfl_no_reputation,200,0,16076,29466,5309
paper_sweep,hfl_no_reputation,200,1,23995,4205,5310
paper_sweep,hfl_no_reputation,200,2,31914,12668,5311
paper_sweep,hfl_no_reputation,200,3,39833,54863,5312
paper_sweep,hfl_no_reputation,200,4,47752,63326,5313
paper_sweep,hfl_no_reputation,200,5,55671,38049,5314
paper_sweep,hfl_no_reputation,200,6,63590,46512,5315
paper_sweep,hfl_no_reputation,200,7,71509,88707,5316
paper_sweep,hfl_no_reputation,200,8,79428,97170,5317
paper_sweep,hfl_no_reputation,200,9,87347,71909,5318
paper_sweep,rep_cap,200,0,16076,8522,5309
paper_sweep,rep_cap,200,1,23995,16957,5310
paper_sweep,rep_cap,200,2,31914,25388,5311
paper_sweep,rep_cap,200,3,39833,33823,5312
paper_sweep,rep_cap,200,4,47752,42254,5313
paper_sweep,rep_cap,200,5,55671,50929,5314
paper_sweep,rep_cap,200,6,63590,59360,5315
paper_sweep,rep_cap,200,7,71509,67795,5316
paper_sweep,rep_cap,200,8,79428,76226,5317
paper_sweep,rep_cap,200,9,87347,84661,5318
paper_sweep,fair_mab,200,0,16076,22982,5309
paper_sweep,fair_mab,200,1,23995,15025,5310
paper_sweep,fair_mab,200,2,31914,7072,5311
paper_sweep,fair_mab,200,3,39833,64659,5312
paper_sweep,fair_mab,200,4,47752,56706,5313
