method,f1_survived,f1_collapsed,f1_obstructed,f1_missing
alzenad2017,0.7802,0.1755,0.1532,0.2296
centralized,0.8565,0.3298,0.7912,0.4202
fair_mab,0.7885,0.2579,0.1917,0.2657
hfl_no_reputation,0.8106,0.2748,0.3062,0.2918
hfl_no_selection,0.8257,0.2752,0.4638,0.3034
hfl_static,0.8149,0.2784,0.3139,0.2904
mozaffari2016,0.8068,0.1833,0.1733,0.2473
power_of_choice,0.8155,0.2706,0.194,0.2696
rep_cap,0.7667,0.242,0.2882,0.2838
