N,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,correction_scope,reference,metric,test,correction
200,proposed_hfl,hfl_no_selection,10,15.0,0.232421875,0.042187604067653574,0.45454545454545453,-0.017331337139034904,0.09822737650369573,False,group,proposed_hfl,f1_collapsed,wilcoxon,holm
30,proposed_hfl,hfl_static,10,15.0,0.232421875,0.03488095206513832,0.45454545454545453,-0.00586772079990057,0.07745342795391594,False,group,proposed_hfl,f1_collapsed,wilcoxon,holm
100,proposed_hfl,power_of_choice,10,15.0,0.232421875,-0.011707992467847383,-0.45454545454545453,-0.02825595407326313,0.005820711614411471,False,group,proposed_hfl,f1_collapsed,wilcoxon,holm
200,proposed_hfl,fair_mab,10,16.0,0.275390625,0.027931148631335813,0.41818181818181815,-0.014392574103004603,0.07182228430994457,False,group,proposed_hfl,f1_collapsed,wilcoxon,holm
30,proposed_hfl,hfl_no_reputation,10,18.0,0.375,0.008721909194660904,0.34545454545454546,-0.02453633887280545,0.035724341740811946,False,group,proposed_hfl,f1_collapsed,wilcoxon,holm
50,proposed_hfl,hfl_no_selection,10,19.0,0.431640625,0.025483092070989997,0.3090909090909091,-0.028415982597638473,0.0818474952764011,False,group,proposed_hfl,f1_collapsed,wilcoxon,holm
100,proposed_hfl,hfl_no_reputation,10,20.0,0.4921875,0.017665360576759142,0.2727272727272727,-0.02109243566017054,0.058624887439036086,False,group,proposed_hfl,f1_collapsed,wilcoxon,holm
30,proposed_hfl,fedcs,10,20.0,0.4921875,-0.021055956713592904,-0.2727272727272727,-0.06436599382453509,0.019172487022032187,False,group,proposed_hfl,f1_collapsed,wilcoxon,holm
30,proposed_hfl,fair_mab,10,21.0,0.556640625,0.015634381845145363,0.23636363636363636,-0.029484141314367624,0.05754768021532325,False,group,proposed_hfl,f1_collapsed,wilcoxon,holm
200,proposed_hfl,hfl_no_reputation,10,21.0,0.556640625,0.02409367042353985,0.23636363636363636,-0.03619142628190343,0.09467029202759845,False,group,proposed_hfl,f1_collapsed,wilcoxon,holm
200,proposed_hfl,fedcs,10,22.0,0.625,-0.011783571940612775,-0.2,-0.052158462655705055,0.028025096667512406,False,group,proposed_hfl,f1_collapsed,wilcoxon,holm
100,proposed_hfl,fair_mab,10,23.0,0.6953125,-0.008771672704793804,-0.16363636363636364,-0.04881123291574309,0.029841904976680975,False,group,proposed_hfl,f1_collapsed,wilcoxon,holm
200,proposed_hfl,power_of_choice,10,23.0,0.6953125,-0.023586631504467378,-0.16363636363636364,-0.07244848738238158,0.018871696915091732,False,group,proposed_hfl,f1_collapsed,wilcoxon,holm
200,proposed_hfl,hfl_static,10,23.0,0.6953125,-0.009291719818579217,-0.16363636363636364,-0.048230305107510696,0.02964010610215691,False,group,proposed_hfl,f1_collapsed,wilcoxon,holm
50,proposed_hfl,rep_cap,10,26.0,0.921875,0.012932298749274332,0.05454545454545454,-0.022422632618214346,0.057978900395756525,False,group,proposed_hfl,f1_collapsed,wilcoxon,holm
100,proposed_hfl,hfl_static,10,27.0,1.0,0.018009476805891305,0.01818181818181818,-0.019744180203037087,0.06548464496711784,False,group,proposed_hfl,f1_collapsed,wilcoxon,holm
50,proposed_hfl,hfl_no_reputation,10,27.0,1.0,-0.002755218385068402,-0.01818181818181818,-0.02524537299028796,0.017797967295658395,False,group,proposed_hfl,f1_collapsed,wilcoxon,holm
200,proposed_hfl,flat_fl,10,27.0,1.0,0.0009082089647703184,0.01818181818181818,-0.029779537324107694,0.03434758953839456,False,group,proposed_hfl,f1_collapsed,wilcoxon,holm
30,proposed_hfl,power_of_choice,10,27.0,1.0,-0.005822376471360377,0.01818181818181818,-0.0526715187495153,0.03598235500496244,False,group,proposed_hfl,f1_collapsed,wilcoxon,holm
