number,value,datetime_start,datetime_complete,duration,params_ema_decay,params_fitness_0,params_fitness_1,params_fitness_2,params_logit_adjust_tau,params_lr,params_lr_decay,params_reputation_0,params_reputation_1,params_reputation_2,params_sel_gumbel_scale,params_sel_priority_0,params_sel_priority_1,params_sel_static_blend,params_server_momentum,params_utility_0,params_utility_1,params_utility_2,params_utility_3,state
44,0.35546595104520945,2026-08-26 10:15:50.029414,2026-08-26 10:16:41.735844,0 days 00:00:51.706430,0.7293464053382871,0.6091875542289827,0.07579580804068885,0.39962799102033547,0.6714498666403257,0.02302686951628858,sqrt,0.17204623015054105,0.7370355151668161,0.6636350969086181,1.1695279090716435,0.9965778085996577,0.38605650788836,0.06839827993701078,0.8853304894350331,0.5306051682549312,0.15595086633729646,0.07452187888651346,0.28502011263057214,COMPLETE
42,0.35053834386000765,2026-08-26 10:14:10.374456,2026-08-26 10:14:59.476165,0 days 00:00:49.101709,0.5771865488755261,0.7070029704790807,0.07607926211796757,0.38479237451062515,0.6874783627360315,0.016137372376342586,cosine,0.09815703060817213,0.6246913112392811,0.7816356210717275,1.1815177864300557,0.8406614892859141,0.3113423764408006,0.1356206565752903,0.8910624632164691,0.5267204941116771,0.1452903324847874,0.07983978899655014,0.12627830360062814,COMPLETE
43,0.3486203507409524,2026-08-26 10:14:59.492329,2026-08-26 10:15:50.012643,0 days 00:00:50.520314,0.5888251290447817,0.603258295176738,0.06843292277946075,0.4105649282656624,0.603777570148738,0.017815328360921975,sqrt,0.10098885495822604,0.6085523579998174,0.6494873308833411,1.177240256938329,0.998639185367445,0.28330934321483525,0.12032672116393017,0.8843332187426207,0.5370457796290865,0.27456041608248044,0.06228525606320163,0.19442214047605125,COMPLETE
3,0.34794326952620297,2026-08-26 09:41:38.419596,2026-08-26 09:42:29.780144,0 days 00:00:51.360548,0.5480291929105332,0.4782098343465716,0.0851839443496507,0.44244229059639073,0.6815522279413078,0.018076465248066755,cosine,0.05985240456639991,0.8479710068020323,0.5817403816066319,1.13640373693772,0.3464145579028449,0.3526956103358791,0.15048559812277773,0.879939329063058,0.7129786272148635,0.13644322241645676,0.28699567696491496,0.4455997342990424,COMPLETE
48,0.3437232133789199,2026-08-26 10:19:15.857806,2026-08-26 10:20:05.617244,0 days 00:00:49.759438,0.6107642565120601,0.5720541837835785,0.013426651484455682,0.5617932258221007,0.8379142348338265,0.02319617207317269,sqrt,0.23907006723724278,0.6962867891627493,0.5928245308263431,1.2231834473809498,0.958509605051265,0.3133900237716913,0.057161112516017076,0.8615305087080364,0.4256734674647521,0.31310022836789797,0.07953583752836368,0.40004496550134877,COMPLETE
37,0.3419618347945293,2026-08-26 10:09:56.958398,2026-08-26 10:10:48.602987,0 days 00:00:51.644589,0.7290114683304956,0.5778763225932362,0.09695305111869519,0.41175229584303585,0.5248831113103168,0.01707585251209031,sqrt,0.12015296508983582,0.7789980492950513,0.6402163581604372,1.246854343993648,0.9442196757426621,0.31593601067113536,0.09630597932406093,0.7559122500710572,0.6658246003267735,0.26023994386903637,0.0775188749192366,0.13285247784192933,COMPLETE
27,0.3416239696789563,2026-08-26 10:01:33.478807,2026-08-26 10:02:22.236737,0 days 00:00:48.757930,0.5051137757071175,0.5050639213075002,0.20722747218353776,0.1972741544984252,0.5775056540322141,0.017150663811348266,cosine,0.1671705360915314,0.50787449539069,0.6133421517682998,1.043288652483471,0.7162635644885725,0.41097450333560204,0.40201403319058915,0.37013509292483715,0.730957167473531,0.24425890663676106,0.1699518263950363,0.23255119556501752,COMPLETE
47,0.3395253180165934,2026-08-26 10:18:24.199380,2026-08-26 10:19:15.841216,0 days 00:00:51.641836,0.6695400015214317,0.6352234577648526,0.09238474938051577,0.40429631963209567,0.7048368102657574,0.03956986587020845,sqrt,0.19492186030479225,0.7223035177499256,0.473717183084159,0.9115364635082996,0.8266863414111977,0.37514964595417843,0.0036625315002514758,0.7440136199045055,0.5437326047892796,0.14206809365351372,0.08600204763338354,0.2628636469206131,COMPLETE
33,0.33641608714642146,2026-08-26 10:06:35.795123,2026-08-26 10:07:27.537163,0 days 00:00:51.742040,0.5203916953856542,0.3808725875278449,0.28052987542365276,0.33303279561434307,0.5663948438825144,0.01561593014809389,cosine,0.015764253705271514,0.6623502894075415,0.749993371313072,1.375752523009453,0.9363527746164244,0.30066513437739467,0.19183798298597637,0.24051782101542604,0.6574641364112914,0.2727319778348533,0.15581960172993647,0.04258688348809866,COMPLETE
23,0.33565872494985033,2026-08-26 09:58:11.284179,2026-08-26 09:59:01.453608,0 days 00:00:50.169429,0.5245223476466465,0.7410286518548898,0.1239326275219845,0.33392167733849143,0.7751648674028115,0.008018009590067899,cosine,0.6092545093040991,0.3770132435011727,0.8159799653223269,1.2822835614246937,0.8934373267363095,0.5393907282241005,0.22399163969531255,0.2841419272391596,0.6238614786950645,0.11493502696409605,0.1303058981925132,0.12167847315313307,COMPLETE
