harness,method,N,seed_idx,job_seed,seed,partition_seed
paper_sweep,proposed_hfl,200,4,47752,55083,5313
paper_sweep,proposed_hfl,200,5,55671,46292,5314
paper_sweep,proposed_hfl,200,6,63590,38341,5315
paper_sweep,proposed_hfl,200,7,71509,97014,5316
paper_sweep,proposed_hfl,200,8,79428,89063,5317
paper_sweep,proposed_hfl,200,9,87347,80016,5318
paper_sweep,fedcs,200,0,16076,53402,5309
paper_sweep,fedcs,200,1,23995,46061,5310
paper_sweep,fedcs,200,2,31914,37628,5311
paper_sweep,fedcs,200,3,39833,30159,5312
paper_sweep,fedcs,200,4,47752,21726,5313
paper_sweep,fedcs,200,5,55671,14113,5314
paper_sweep,fedcs,200,6,63590,5680,5315
paper_sweep,fedcs,200,7,71509,129283,5316
paper_sweep,fedcs,200,8,79428,120850,5317
paper_sweep,fedcs,200,9,87347,113509,5318
paper_sweep,oort,200,0,16076,37532,5309
paper_sweep,oort,200,1,23995,61931,5310
paper_sweep,oort,200,2,31914,53498,5311
paper_sweep,oort,200,3,39833,14281,5312
paper_sweep,oort,200,4,47752,5848,5313
paper_sweep,oort,200,5,55671,29991,5314
paper_sweep,oort,200,6,63590,21558,5315
paper_sweep,oort,200,7,71509,113413,5316
paper_sweep,oort,200,8,79428,104980,5317
paper_sweep,oort,200,9,87347,129379,5318
paper_sweep,flat_fl,200,0,16076,49756,5309
paper_sweep,flat_fl,200,1,23995,41259,5310
paper_sweep,flat_fl,200,2,31914,32826,5311
paper_sweep,flat_fl,200,3,39833,26377,5312
paper_sweep,flat_fl,200,4,47752,17944,5313
paper_sweep,flat_fl,200,5,55671,9703,5314
paper_sweep,flat_fl,200,6,63590,1270,5315
paper_sweep,flat_fl,200,7,71509,125893,5316
paper_sweep,flat_fl,200,8,79428,117460,5317
paper_sweep,flat_fl,200,9,87347,108963,5318
