N,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,correction_scope,reference,metric,test,correction
500,ucb_dp_eps1,ucb_dp_eps0.5,10,23.0,0.6953125,-0.004572925471497113,-0.16363636363636364,-0.026531241082716126,0.01742675406720326,False,group,ucb_dp_eps1,f1_survived,wilcoxon,holm
500,ucb_dp_eps1,ucb_dp_eps4,10,24.0,0.76953125,-0.004185042438740882,-0.12727272727272726,-0.026320984138720638,0.018158116739971086,False,group,ucb_dp_eps1,f1_survived,wilcoxon,holm
