method,N,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,f1_survived_mean,f1_survived_std,f1_collapsed_mean,f1_collapsed_std,f1_obstructed_mean,f1_obstructed_std,f1_missing_mean,f1_missing_std,n_seeds
fedcs,50,0.7134,0.0149,0.4945,0.0251,0.8259,0.0101,0.2864,0.0458,0.5469,0.0755,0.319,0.0109,5
fedcs,100,0.7042,0.0096,0.4415,0.0237,0.8261,0.0072,0.2454,0.0202,0.4028,0.0687,0.2918,0.014,5
flat_fl,50,0.7343,0.0141,0.5192,0.013,0.8389,0.0091,0.2824,0.0394,0.6381,0.0298,0.3174,0.015,5
flat_fl,100,0.7197,0.0124,0.4995,0.0139,0.8296,0.0081,0.2627,0.0313,0.5667,0.0316,0.3391,0.0155,5
oort,50,0.7215,0.0167,0.4496,0.0151,0.835,0.0132,0.2954,0.0199,0.3712,0.0514,0.2969,0.0215,5
oort,100,0.7293,0.0113,0.4289,0.0136,0.8438,0.0076,0.2766,0.0263,0.3161,0.0337,0.279,0.0193,5
proposed_hfl,50,0.7338,0.0147,0.4676,0.0136,0.8442,0.0115,0.3341,0.0346,0.3935,0.0687,0.2985,0.0132,5
proposed_hfl,100,0.7288,0.008,0.425,0.015,0.8441,0.005,0.2746,0.0293,0.2946,0.0505,0.2869,0.0134,5
