number,value,datetime_start,datetime_complete,duration,params_ema_decay,params_fitness_0,params_fitness_1,params_fitness_2,params_logit_adjust_tau,params_lr,params_lr_decay,params_reputation_0,params_reputation_1,params_reputation_2,params_sel_gumbel_scale,params_sel_priority_0,params_sel_priority_1,params_sel_static_blend,params_server_momentum,params_utility_0,params_utility_1,params_utility_2,params_utility_3,state
93,0.4533427480934712,2026-07-20 13:14:46.455595,2026-07-20 13:17:00.944255,0 days 00:02:14.488660,0.18922597589182535,0.9807672672379641,0.03567548424972626,0.19249971468422208,0.6006080926898889,0.017749368957553205,cosine,0.07194382795202617,0.10641509635843019,0.6135675219764009,1.4746576874742332,0.85946170028167,0.3645095363534574,0.43474741587333293,0.5284764576184121,0.05406517373312729,0.09921659317270824,0.3727401517315647,0.7379529848937046,COMPLETE
42,0.4489324379103141,2026-07-20 10:51:22.905942,2026-07-20 10:53:22.348298,0 days 00:01:59.442356,0.1933453461589846,0.9365588197293658,0.04553927906206376,0.17772523579933963,0.6744421223251378,0.019271197089935948,cosine,0.10163452827024433,0.0871200231125865,0.5737508521788041,1.3197012345756982,0.9572397630744399,0.7351958620878283,0.4440456971883576,0.46218832768016693,0.057369631156115986,0.0643930021608504,0.3107294217232963,0.4015323217122658,COMPLETE
108,0.44692906876605276,2026-07-20 13:46:54.502322,2026-07-20 13:48:55.838604,0 days 00:02:01.336282,0.09016065274906943,0.9035712025765803,0.02951714331171871,0.14414722029530155,0.5697907104496188,0.020165370630045053,sqrt,0.07387242712521236,0.055490953443457655,0.6832760889483592,1.471007013640837,0.8739726330524383,0.5233937452458239,0.5633633184080007,0.6056551237016718,0.12006023433626005,0.037547112713404815,0.2950985581891064,0.6778593979997912,COMPLETE
114,0.4462052540645992,2026-07-20 13:59:09.329287,2026-07-20 14:01:17.395164,0 days 00:02:08.065877,0.13644774411681718,0.9753139542078407,0.05164270879042243,0.1575558908035091,0.6629963116213179,0.018424513841807627,cosine,0.10485266710741198,0.06683241568798265,0.7032881422407555,1.3765909096081947,0.8255343409368616,0.5191344582483558,0.5428457433480312,0.5288183113847287,0.049402762276008316,0.012276198377955898,0.3691680568442399,0.6510263375301819,COMPLETE
103,0.44607916299170264,2026-07-20 13:36:12.598973,2026-07-20 13:38:22.243512,0 days 00:02:09.644539,0.14361923930984333,0.9149696341856158,0.03706838612339663,0.16474900307735832,0.5334449338785676,0.022447340398844936,cosine,0.029018791605587072,0.08439801255165207,0.671236790118936,1.402629151580939,0.8885147296329475,0.4724103936032066,0.4585609973982556,0.6061439895714276,0.14819073819434517,0.0855346813269173,0.2833395178772051,0.6246484063654564,COMPLETE
69,0.44554663556397245,2026-07-20 11:46:24.491834,2026-07-20 11:48:27.899263,0 days 00:02:03.407429,0.25080240657773745,0.9649966697191628,0.023891140613882995,0.2010309849855408,0.6379887053965985,0.020688234924294488,cosine,0.15666812948016837,0.03385722329805581,0.6123005166928686,1.369444748986849,0.8722666408228721,0.5067089483094548,0.49521974326078166,0.4920643150751349,0.08327260226408374,0.07828273197268322,0.338104163733081,0.6076092041508225,COMPLETE
71,0.44541958383039126,2026-07-20 11:50:26.631542,2026-07-20 11:52:21.860408,0 days 00:01:55.228866,0.19166037133734007,0.930936667785888,0.011191413224557956,0.20850427695337576,0.6459215934074917,0.021045780160793295,cosine,0.1414137508601683,0.014082108059822698,0.6157925303243267,1.3323302968566073,0.8724901771342206,0.44150464848051074,0.5541382545633134,0.3827879860540275,0.016029171822923988,0.03591183124697423,0.33215923375195083,0.6340393801743089,COMPLETE
20,0.44492262864885185,2026-07-20 10:05:57.685927,2026-07-20 10:08:04.071961,0 days 00:02:06.386034,0.16877065700586089,0.9015528642603803,0.01419781539230558,0.26082701030615857,0.6396682237061225,0.0261560940948647,cosine,0.18452034088020886,0.022028188241659256,0.616262989837315,1.3058922478143953,0.9889912230716607,0.5905296242727508,0.4822246271813707,0.3938642008186719,0.07553646041946628,0.019394107915805953,0.25027524116192845,0.5925351234561052,COMPLETE
68,0.4448666351074242,2026-07-20 11:44:17.079972,2026-07-20 11:46:24.469791,0 days 00:02:07.389819,0.11839299920438502,0.9597650292901435,0.0304954365177589,0.18127575657772263,0.571891296264763,0.022912473535950162,cosine,0.14254886563135305,0.039532041865514636,0.6066320516464074,1.3494438728122893,0.8670703586382421,0.5145970744518392,0.4883075736457051,0.38164075948142284,0.08039378843591595,0.035310987992294,0.33655031211643993,0.6046539907453427,COMPLETE
87,0.44435064161893206,2026-07-20 13:02:17.879625,2026-07-20 13:04:24.732706,0 days 00:02:06.853081,0.24941552004316686,0.9527506251788124,0.08585153616164196,0.18364904674213775,0.4717575055140927,0.02340074030092358,cosine,0.1137645593912239,0.10719789028182787,0.6499844355069778,1.3114335774520858,0.850588352651972,0.47725132627216377,0.4867593481006388,0.5734785364935874,0.1327635577550057,0.13886412762702038,0.3194322900710265,0.6459671126255621,COMPLETE
