number,value,datetime_start,datetime_complete,duration,params_ema_decay,params_fitness_0,params_fitness_1,params_fitness_2,params_logit_adjust_tau,params_lr,params_lr_decay,params_reputation_0,params_reputation_1,params_reputation_2,params_sel_gumbel_scale,params_sel_priority_0,params_sel_priority_1,params_sel_static_blend,params_server_momentum,params_utility_0,params_utility_1,params_utility_2,params_utility_3,state
45,0.4552025483636358,2026-08-05 12:53:47.059424,2026-08-05 12:55:09.863386,0 days 00:01:22.803962,0.7833928761076289,0.963756807880892,0.16177312090471369,0.7757944869367964,0.7001226050885416,0.01686180617951525,none,0.6909334903440525,0.24239807113866385,0.1389096244486897,0.6338921912933888,0.9523401836356657,0.07563190798428626,0.27019743011152175,0.7706227485907273,0.32455919932087707,0.39294698373114356,0.9433136042773317,0.7657392754208274,COMPLETE
41,0.4522366064051136,2026-08-05 12:48:25.470943,2026-08-05 12:49:45.562773,0 days 00:01:20.091830,0.6821595402509466,0.8285647528433476,0.18627365535043303,0.925429384398776,0.6073369823700374,0.010484320234339931,none,0.8022594897003328,0.28171521136273114,0.07195055565621045,0.8853823682555038,0.9805397342951794,0.2086600137812171,0.11918979289099298,0.8051026659193984,0.3587205068636373,0.2761295442707999,0.9393120022937417,0.9373968765553894,COMPLETE
33,0.44893955225991694,2026-08-05 12:37:36.982926,2026-08-05 12:38:58.497760,0 days 00:01:21.514834,0.5955219865967658,0.7974854004829481,0.08236346958727098,0.9427360361993864,0.5522506033865447,0.02429403536656463,sqrt,0.7954039690208083,0.38642109021694504,0.021670119769478198,0.8445497214258553,0.7559928483050999,0.08291597623957522,0.06314511022238234,0.7480350437254267,0.3666375695932071,0.197587237065308,0.9135703663166211,0.9130370132075654,COMPLETE
22,0.4479966756633815,2026-08-05 12:22:44.486021,2026-08-05 12:24:04.105428,0 days 00:01:19.619407,0.5499075415654446,0.5241159381081901,0.11426246007738318,0.9091271905544144,0.6045529782434893,0.02158569801878444,sqrt,0.829504053995572,0.37035892307205764,0.08818581982289998,0.712261825196819,0.5539136692043317,0.15554397353019805,0.0005168532158875208,0.6003865146651544,0.42979404497227125,0.20133990342327937,0.9900455932902512,0.9935822523996882,COMPLETE
48,0.44755424654455395,2026-08-05 12:57:47.567093,2026-08-05 12:59:06.872149,0 days 00:01:19.305056,0.8087863468505704,0.9724502701627682,0.15370797175835316,0.8367547746642885,0.6946028361555214,0.008200081096040418,none,0.6382011849255953,0.32429816730439226,0.1892863263557177,0.6512722496235737,0.9102885962977557,0.30392061541535387,0.1913319693956651,0.9086146056841505,0.11912615847522526,0.5282295259657515,0.9973219246565335,0.8130756571484017,COMPLETE
47,0.4448934493159453,2026-08-05 12:56:28.706198,2026-08-05 12:57:47.543583,0 days 00:01:18.837385,0.7950948992495828,0.9980061318449963,0.1855522774355484,0.9370953891937331,0.7078955346613163,0.007537542897763685,none,0.6225586432855766,0.2235830890906836,0.1993261084578449,0.6558854188748723,0.9499223006672014,0.32366801037337767,0.2057500324598422,0.8996202759138163,0.28556191397798575,0.3438681746437937,0.9927052766074227,0.8069980121107606,COMPLETE
42,0.4446804504295909,2026-08-05 12:49:45.585496,2026-08-05 12:51:07.041924,0 days 00:01:21.456428,0.6807377417349795,0.8359235840345117,0.19107745364793025,0.9314219691682318,0.8106683000834309,0.014389947494432129,none,0.8026284396185643,0.21773990278592467,0.1278590328672231,0.8476050378526323,0.9618852005719907,0.06941830959995843,0.1249571648881358,0.6628802884387428,0.29021670783031434,0.29340201074935185,0.9573322628094572,0.8589619228538965,COMPLETE
44,0.44266833446202075,2026-08-05 12:52:27.345439,2026-08-05 12:53:47.035366,0 days 00:01:19.689927,0.7622491770620724,0.9612093824239885,0.12849130361973565,0.8650027372315613,0.7071356923545611,0.01713340886520007,none,0.6715675429432786,0.37394626078685794,0.011366403001788011,0.7365833117992303,0.9456588310328492,0.0724729029482822,0.24995364192053832,0.624454499502074,0.34993371539811,0.3964439557803887,0.9484741219735144,0.7773745736490048,COMPLETE
31,0.44134728526453726,2026-08-05 12:34:52.611280,2026-08-05 12:36:15.853177,0 days 00:01:23.241897,0.5804203838239549,0.7506272205474055,0.10227376265742781,0.9988129022154821,0.5345739627249433,0.022990789018372086,sqrt,0.8166255952697029,0.3727413928255716,0.01678747355092136,0.8088105351933489,0.5217438255192265,0.02140422631165353,0.091878669305492,0.6150696161955357,0.39078747826249194,0.15437753958856806,0.8781657299006554,0.9119076944110092,COMPLETE
34,0.43911810461742373,2026-08-05 12:38:58.526653,2026-08-05 12:40:20.365064,0 days 00:01:21.838411,0.5966417311367707,0.839249803453795,0.20038869876322363,0.997041640018361,0.6027734861862355,0.014223408022015457,sqrt,0.8897402570994111,0.2754796385023871,0.09567770615321364,0.8721685987443211,0.7682012759694546,0.015968025600104505,0.05870037084302096,0.7149516785960647,0.24299882427445202,0.29144568402790655,0.8472120242321736,0.942971104884102,COMPLETE
38,0.43844313070920043,2026-08-05 12:44:25.461379,2026-08-05 12:45:45.774142,0 days 00:01:20.312763,0.6901459714306875,0.8383603292395769,0.19945266385224422,0.9224846398110743,0.6390784353107011,0.009436935780343669,none,0.8046727678861063,0.2942577589142014,0.08211681870985851,0.8942158108231228,0.9759195468075557,0.1795494486313866,0.14381476622116213,0.8111498424943191,0.3557510820117687,0.289749333388544,0.9321075569974686,0.9439551535536681,COMPLETE
43,0.436233345908057,2026-08-05 12:51:07.067965,2026-08-05 12:52:27.317668,0 days 00:01:20.249703,0.7080493965996295,0.7723611982473988,0.062076432344356426,0.9123398273268146,0.8132596461165058,0.0107580077088727,none,0.7866686794124559,0.21965982796646047,0.0647210263673511,0.8555855015225532,0.9963488407019563,0.20692263232030272,0.12097160984857086,0.6633063014753651,0.38379414134268663,0.14866614742379275,0.955334326290033,0.8473004067817866,COMPLETE
25,0.4331583469682054,2026-08-05 12:26:46.868371,2026-08-05 12:28:07.144132,0 days 00:01:20.275761,0.5107908534943206,0.6909742324738872,0.3726529560293542,0.9739706286945053,0.582630169041031,0.03366458807946867,sqrt,0.8538948032626177,0.3067425430487395,0.016055669688252838,0.7682588838415887,0.671790250731847,0.02346008586077003,0.1684070043546594,0.6708480639209236,0.47445126191613096,0.2006112555530737,0.8529699647560991,0.8946888205800911,COMPLETE
32,0.43207361519378445,2026-08-05 12:36:15.890362,2026-08-05 12:37:36.958602,0 days 00:01:21.068240,0.4895932728557536,0.7927367860478828,0.0965537074364839,0.9449314581675345,0.5283787575327321,0.029189749964359874,sqrt,0.7730913555689602,0.392571079841674,0.02429802510831541,0.8231470036735224,0.7130725482576459,0.09011108954404685,0.0679201486574941,0.5644820634145624,0.3657370693700637,0.19773930935749384,0.9046428796114748,0.8898342938387203,COMPLETE
13,0.4312646845804098,2026-08-05 12:10:21.455346,2026-08-05 12:11:45.136107,0 days 00:01:23.680761,0.43555547653501686,0.7231134514075841,0.7332038635452123,0.775923600139967,0.753465822648737,0.032633900546642614,sqrt,0.7222360161675634,0.5928573753234557,0.7149571615466503,0.4935906904657221,0.5675155799906927,0.26346170849986206,0.16373615789374252,0.5855933366512258,0.48067631663884697,0.09395373434228987,0.47829099348461374,0.6054417590218969,COMPLETE
21,0.4292988585153186,2026-08-05 12:21:22.828431,2026-08-05 12:22:44.455595,0 days 00:01:21.627164,0.6433112586962195,0.5031353125109281,0.1466616024154968,0.9894289542073352,0.5245876891334447,0.022088956310316467,sqrt,0.8337488073842779,0.3474280390127837,0.14213046525727724,0.7877238413130436,0.5244983129044094,0.022034663405022737,0.10143964780503127,0.6052018644732964,0.4205573612156762,0.13548257092813032,0.8564780157795244,0.8905931467397069,COMPLETE
