method,f1_survived,f1_collapsed,f1_obstructed,f1_missing
fedcs,0.8002,0.262,0.3754,0.2769
flat_fl,0.8534,0.2866,0.3892,0.2679
oort,0.8312,0.2985,0.3003,0.2675
proposed_hfl,0.8243,0.2406,0.2299,0.1744
