dropout_rate,snr_degradation_db,black_chip_rate,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,correction_scope,reference,metric,test,correction
0.4,0.0,0.0,proposed_hfl,hfl_no_selection,16,18.0,0.00762939453125,0.024630317597988817,0.7352941176470589,0.010561868615507218,0.037477740545861005,True,group,proposed_hfl,macro_f1,wilcoxon,holm
0.2,0.0,0.0,proposed_hfl,oort,16,18.0,0.00762939453125,-0.01656100912992097,-0.7352941176470589,-0.02671919377181716,-0.006269411165589421,True,group,proposed_hfl,macro_f1,wilcoxon,holm
0.0,0.0,0.0,proposed_hfl,oort,16,19.0,0.009185791015625,-0.019366705102026392,-0.7205882352941176,-0.031329356491393,-0.007504619698285655,True,group,proposed_hfl,macro_f1,wilcoxon,holm
0.1,0.0,0.0,proposed_hfl,oort,16,20.0,0.010986328125,-0.017570349587040533,-0.7058823529411765,-0.02697601490235576,-0.007076583009704585,True,group,proposed_hfl,macro_f1,wilcoxon,holm
0.2,0.0,0.0,proposed_hfl,fedcs,16,21.0,0.013092041015625,0.019932221343640366,0.6911764705882353,0.006458886099794049,0.03287993191226443,False,group,proposed_hfl,macro_f1,wilcoxon,holm
0.0,0.0,0.1,proposed_hfl,oort,16,22.0,0.0155029296875,-0.017042364827727044,-0.6764705882352942,-0.029550367535904145,-0.003493343473653288,False,group,proposed_hfl,macro_f1,wilcoxon,holm
0.0,0.0,0.05,proposed_hfl,oort,16,23.0,0.01824951171875,-0.01625116641741135,-0.6617647058823529,-0.027103427740716217,-0.0037880570656938987,False,group,proposed_hfl,macro_f1,wilcoxon,holm
0.0,0.0,0.0,proposed_hfl,alzenad2017,16,26.0,0.02899169921875,-0.01617180213876775,-0.6176470588235294,-0.027348089398415567,-0.004673867115580537,False,group,proposed_hfl,macro_f1,wilcoxon,holm
0.0,6.0,0.0,proposed_hfl,hfl_no_selection,16,26.0,0.02899169921875,0.024958381943922976,0.6176470588235294,0.006037642348655493,0.042435635895760014,False,group,proposed_hfl,macro_f1,wilcoxon,holm
0.3,0.0,0.0,proposed_hfl,fedcs,16,26.0,0.02899169921875,0.02292772558669144,0.6176470588235294,0.0046953495334515795,0.0389625090204055,False,group,proposed_hfl,macro_f1,wilcoxon,holm
0.0,0.0,0.0,proposed_hfl,hfl_no_selection,16,30.0,0.0506591796875,0.013723297686318262,0.5588235294117647,0.002638826416413301,0.025000346096413405,False,group,proposed_hfl,macro_f1,wilcoxon,holm
0.0,6.0,0.0,proposed_hfl,alzenad2017,16,34.0,0.083251953125,-0.016095513507850153,-0.5,-0.032482828694872096,8.522721475301796e-05,False,group,proposed_hfl,macro_f1,wilcoxon,holm
0.0,0.0,0.2,proposed_hfl,oort,16,35.0,0.09344482421875,-0.01244556722080907,-0.4852941176470588,-0.024077078894594355,-0.0015597657172992197,False,group,proposed_hfl,macro_f1,wilcoxon,holm
0.0,3.0,0.0,proposed_hfl,fair_mab,16,36.0,0.104583740234375,0.011580346444431601,0.47058823529411764,0.00037049693053972974,0.022590120029369477,False,group,proposed_hfl,macro_f1,wilcoxon,holm
0.0,3.0,0.0,proposed_hfl,oort,16,36.0,0.104583740234375,-0.014642603020105498,-0.47058823529411764,-0.028650623057705382,0.00015252730762445348,False,group,proposed_hfl,macro_f1,wilcoxon,holm
0.0,10.0,0.0,proposed_hfl,fedcs,16,38.0,0.129730224609375,0.012658612068510901,0.4411764705882353,-0.004496122765716329,0.02846752342628038,False,group,proposed_hfl,macro_f1,wilcoxon,holm
0.0,10.0,0.0,proposed_hfl,oort,16,41.0,0.17535400390625,0.01670496236908528,0.39705882352941174,-0.005415669930069204,0.03743277845836948,False,group,proposed_hfl,macro_f1,wilcoxon,holm
0.0,10.0,0.0,proposed_hfl,mozaffari2016,16,42.0,0.19281005859375,0.016103815419371077,0.38235294117647056,-0.006860468089108023,0.04068977287278788,False,group,proposed_hfl,macro_f1,wilcoxon,holm
0.3,0.0,0.0,proposed_hfl,oort,16,42.0,0.19281005859375,-0.007562987655634543,-0.38235294117647056,-0.021687121751882203,0.0073101863553646385,False,group,proposed_hfl,macro_f1,wilcoxon,holm
0.0,0.0,0.2,proposed_hfl,fair_mab,16,44.0,0.231201171875,0.008636936729771526,0.35294117647058826,-0.005022426781302627,0.021018232508961624,False,group,proposed_hfl,macro_f1,wilcoxon,holm
0.0,3.0,0.0,proposed_hfl,mozaffari2016,16,45.0,0.252227783203125,0.006013555038202598,0.3382352941176471,-0.00650198894463795,0.018253765720811613,False,group,proposed_hfl,macro_f1,wilcoxon,holm
0.0,0.0,0.1,proposed_hfl,alzenad2017,16,45.0,0.252227783203125,-0.0022698337321449685,-0.3382352941176471,-0.012796909171654106,0.010022726661398484,False,group,proposed_hfl,macro_f1,wilcoxon,holm
