R_comm,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,metric,test,correction
4000.0,alzenad2017,hfl_static,10,5.0,0.01953125,0.0161687954805363,0.8181818181818182,0.005142556370302592,0.028647088895962285,False,macro_f1,wilcoxon,holm
12000.0,alzenad2017,proposed_hfl,10,5.0,0.01953125,-0.01831919442380926,-0.8181818181818182,-0.028685011942222033,-0.007959891734947174,False,macro_f1,wilcoxon,holm
2000.0,alzenad2017,mozaffari2016,10,5.0,0.01953125,0.054336641846548316,0.8181818181818182,0.02322556075925278,0.08786710467327921,False,macro_f1,wilcoxon,holm
4000.0,flat_fl,mozaffari2016,10,7.0,0.037109375,0.016783273176958952,0.7454545454545455,0.0026974068992900225,0.030284906246338002,False,macro_f1,wilcoxon,holm
6000.0,alzenad2017,hfl_static,10,12.0,0.130859375,0.008981783073238176,0.5636363636363636,-0.0009633922479719335,0.01786568518797126,False,macro_f1,wilcoxon,holm
20000.0,mozaffari2016,proposed_hfl,10,12.0,0.130859375,-0.01162003400134438,-0.5636363636363636,-0.022882783771624962,0.00035299650658851615,False,macro_f1,wilcoxon,holm
12000.0,alzenad2017,hfl_static,10,13.0,0.16015625,-0.010271313282213007,-0.5272727272727272,-0.021435569750815765,0.0006387022154906163,False,macro_f1,wilcoxon,holm
4000.0,alzenad2017,proposed_hfl,10,13.0,0.16015625,0.006635348029294353,0.5272727272727272,-0.0019363287375656478,0.01455549115920126,False,macro_f1,wilcoxon,holm
20000.0,alzenad2017,mozaffari2016,10,13.0,0.16015625,0.015285491554677132,0.5272727272727272,-0.0007258939254110025,0.030907264332690986,False,macro_f1,wilcoxon,holm
6000.0,alzenad2017,proposed_hfl,10,14.0,0.193359375,0.004752555736760417,0.4909090909090909,-0.0002936140643969972,0.010286078403571215,False,macro_f1,wilcoxon,holm
2000.0,hfl_static,proposed_hfl,10,14.0,0.193359375,0.015168994607430236,0.4909090909090909,-0.00495246109178397,0.03321661334316168,False,macro_f1,wilcoxon,holm
6000.0,flat_fl,mozaffari2016,10,15.0,0.232421875,0.01196915857137339,0.45454545454545453,-0.0052833353499986595,0.030606930576840836,False,macro_f1,wilcoxon,holm
4000.0,hfl_static,proposed_hfl,10,15.0,0.232421875,-0.00953344745124195,-0.45454545454545453,-0.022608574190170986,0.001036136005955555,False,macro_f1,wilcoxon,holm
20000.0,hfl_static,mozaffari2016,10,17.0,0.322265625,0.009673103741810957,0.38181818181818183,-0.003315504945334759,0.021670997894337903,False,macro_f1,wilcoxon,holm
8000.0,alzenad2017,hfl_static,10,17.0,0.322265625,0.004775887195290767,0.38181818181818183,-0.003699644300254382,0.01316011475842636,False,macro_f1,wilcoxon,holm
12000.0,hfl_static,proposed_hfl,10,18.0,0.375,-0.008047881141596252,-0.34545454545454546,-0.020646344422884114,0.004671494612135641,False,macro_f1,wilcoxon,holm
6000.0,hfl_static,proposed_hfl,10,18.0,0.375,-0.004229227336477759,-0.34545454545454546,-0.010643236542078058,0.002989518594973344,False,macro_f1,wilcoxon,holm
2000.0,flat_fl,proposed_hfl,10,19.0,0.431640625,0.007050820811632464,0.3090909090909091,-0.00663974150840112,0.02150933586525905,False,macro_f1,wilcoxon,holm
2000.0,flat_fl,hfl_static,10,20.0,0.4921875,-0.008118173795797773,-0.2727272727272727,-0.026699490025531774,0.009536765713325193,False,macro_f1,wilcoxon,holm
20000.0,alzenad2017,hfl_static,10,20.0,0.4921875,0.005612387812866176,0.2727272727272727,-0.008737874515351962,0.01855757491463672,False,macro_f1,wilcoxon,holm
20000.0,alzenad2017,proposed_hfl,10,22.0,0.625,0.0036654575533327516,0.2,-0.01321174141125747,0.020704035672613103,False,macro_f1,wilcoxon,holm
8000.0,hfl_static,proposed_hfl,10,22.0,0.625,-0.00454519019349221,-0.2,-0.014905633666328709,0.006121320504797857,False,macro_f1,wilcoxon,holm
2000.0,alzenad2017,proposed_hfl,10,23.0,0.6953125,0.005356208638812532,0.16363636363636364,-0.013958526906489353,0.02461758192469632,False,macro_f1,wilcoxon,holm
2000.0,alzenad2017,hfl_static,10,24.0,0.76953125,-0.009812785968617704,-0.12727272727272726,-0.03407243658338186,0.012908501582406997,False,macro_f1,wilcoxon,holm
20000.0,hfl_static,proposed_hfl,10,24.0,0.76953125,-0.0019469302595334248,-0.12727272727272726,-0.017948869722504698,0.014139890704304567,False,macro_f1,wilcoxon,holm
8000.0,alzenad2017,proposed_hfl,10,27.0,1.0,0.00023069700179855767,-0.01818181818181818,-0.008620081183913395,0.009533875280174176,False,macro_f1,wilcoxon,holm
2000.0,alzenad2017,flat_fl,10,27.0,1.0,-0.0016946121728199314,-0.01818181818181818,-0.01721648386799126,0.01260355033775934,False,macro_f1,wilcoxon,holm
