N,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,metric,test,correction
100,alzenad2017,power_of_choice,10,0.0,0.001953125,0.01697231162486127,1.0,0.011645968950297828,0.02462601571803133,False,accuracy,wilcoxon,holm
100,alzenad2017,oort,10,0.0,0.001953125,0.01854261165340728,1.0,0.013153522952438417,0.023940315467415842,False,accuracy,wilcoxon,holm
200,alzenad2017,hfl_no_selection,10,0.0,0.001953125,0.013708917923379004,1.0,0.009823775898869182,0.01767728256555279,False,accuracy,wilcoxon,holm
100,oort,proposed_hfl,10,0.0,0.001953125,-0.018382209033038333,-1.0,-0.023706418494286743,-0.013106494038104082,False,accuracy,wilcoxon,holm
50,centralized,power_of_choice,10,1.0,0.00390625,0.02821941267565866,0.9636363636363636,0.018507028814012342,0.03779815739568017,False,accuracy,wilcoxon,holm
50,centralized,hfl_static,10,1.0,0.00390625,0.022600719629426835,0.9636363636363636,0.013553440540202888,0.03326621606440006,False,accuracy,wilcoxon,holm
100,centralized,hfl_no_selection,10,1.0,0.00390625,0.017231564974847326,0.9636363636363636,0.009711943035547139,0.02504713071351613,False,accuracy,wilcoxon,holm
50,hfl_static,mozaffari2016,10,1.0,0.00390625,-0.013155939034315677,-0.9636363636363636,-0.022079930941482254,-0.006131729129808444,False,accuracy,wilcoxon,holm
200,flat_fl,oort,10,1.0,0.00390625,0.01062991962673423,0.9636363636363636,0.006281722957021747,0.014862974190030109,False,accuracy,wilcoxon,holm
100,hfl_static,oort,10,1.0,0.00390625,0.011402469730299614,0.9636363636363636,0.006342411658874553,0.01588921507300858,False,accuracy,wilcoxon,holm
200,hfl_no_selection,proposed_hfl,10,1.0,0.00390625,-0.010164984190646476,-0.9636363636363636,-0.014444652034554431,-0.00593716024029703,False,accuracy,wilcoxon,holm
200,hfl_no_selection,hfl_static,10,1.0,0.00390625,-0.011959563758278158,-0.9636363636363636,-0.016381701740471353,-0.00727687596487077,False,accuracy,wilcoxon,holm
200,fedcs,hfl_no_reputation,10,1.0,0.00390625,-0.018330182503729087,-0.9636363636363636,-0.02626773213349939,-0.010164556204688969,False,accuracy,wilcoxon,holm
200,flat_fl,rep_cap,10,1.0,0.00390625,0.013697519974319627,0.9636363636363636,0.009219763465735895,0.017804311065606104,False,accuracy,wilcoxon,holm
200,fedcs,oort,10,1.0,0.00390625,-0.01697101018004409,-0.9636363636363636,-0.023813613997055984,-0.009450131145742358,False,accuracy,wilcoxon,holm
