dropout_rate,snr_degradation_db,black_chip_rate,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,correction_scope,reference,metric,test,correction
0.0,0.0,0.0,proposed_hfl,alzenad2017,16,35.0,0.09344482421875,-0.005370073765647243,-0.4852941176470588,-0.011687715654933213,0.0011319830133136224,False,group,proposed_hfl,accuracy,wilcoxon,holm
0.0,0.0,0.05,proposed_hfl,fair_mab,16,36.0,0.104583740234375,-0.004262059048157671,-0.47058823529411764,-0.008759340509175194,0.0003475609193368134,False,group,proposed_hfl,accuracy,wilcoxon,holm
0.0,0.0,0.2,proposed_hfl,fedcs,16,36.0,0.104583740234375,0.007083983689491875,0.47058823529411764,-0.0006225213804289876,0.014308263443557184,False,group,proposed_hfl,accuracy,wilcoxon,holm
0.2,0.0,0.0,proposed_hfl,fedcs,16,36.0,0.104583740234375,0.009415162118868767,0.47058823529411764,-0.0004157516764161494,0.019342923428037073,False,group,proposed_hfl,accuracy,wilcoxon,holm
0.4,0.0,0.0,proposed_hfl,alzenad2017,16,37.0,0.116668701171875,-0.00594813740675134,-0.45588235294117646,-0.012640713007770194,0.00042188067896412865,False,group,proposed_hfl,accuracy,wilcoxon,holm
0.0,0.0,0.2,proposed_hfl,fair_mab,16,38.0,0.129730224609375,-0.005433794715340945,-0.4411764705882353,-0.011363968759706886,2.152198757379936e-05,False,group,proposed_hfl,accuracy,wilcoxon,holm
0.2,0.0,0.0,proposed_hfl,oort,16,39.0,0.14385986328125,0.0077443104834466064,0.4264705882352941,-0.0006594574821456146,0.0167893947129144,False,group,proposed_hfl,accuracy,wilcoxon,holm
0.0,3.0,0.0,proposed_hfl,hfl_no_selection,16,41.0,0.17535400390625,0.004604191835407688,0.39705882352941174,-0.0022503954516675563,0.011057549861437314,False,group,proposed_hfl,accuracy,wilcoxon,holm
0.0,0.0,0.05,proposed_hfl,alzenad2017,16,42.0,0.19281005859375,-0.004926634730381671,-0.38235294117647056,-0.01141709877134126,0.001263264483251126,False,group,proposed_hfl,accuracy,wilcoxon,holm
0.0,10.0,0.0,proposed_hfl,hfl_no_selection,16,45.0,0.252227783203125,-0.008383844210866472,-0.3382352941176471,-0.02421313323441935,0.007927420510763901,False,group,proposed_hfl,accuracy,wilcoxon,holm
0.0,0.0,0.05,proposed_hfl,mozaffari2016,16,45.0,0.252227783203125,-0.002790001147779393,-0.3382352941176471,-0.007564024789342198,0.0028046802514585818,False,group,proposed_hfl,accuracy,wilcoxon,holm
0.3,0.0,0.0,proposed_hfl,alzenad2017,16,45.0,0.252227783203125,-0.005322848464915965,-0.3382352941176471,-0.012417361827767407,0.0018613746476243724,False,group,proposed_hfl,accuracy,wilcoxon,holm
0.0,6.0,0.0,proposed_hfl,mozaffari2016,16,50.0,0.375457763671875,0.0035305634527217147,0.2647058823529412,-0.004273298375911555,0.011132053880914936,False,group,proposed_hfl,accuracy,wilcoxon,holm
0.0,0.0,0.1,proposed_hfl,alzenad2017,16,50.0,0.375457763671875,-0.00314242045280827,-0.2647058823529412,-0.00902804768187215,0.0027016826533061244,False,group,proposed_hfl,accuracy,wilcoxon,holm
0.0,0.0,0.2,proposed_hfl,hfl_no_selection,16,50.0,0.375457763671875,-0.003654209592665346,-0.2647058823529412,-0.00982455533802258,0.0014960021021120306,False,group,proposed_hfl,accuracy,wilcoxon,holm
0.0,0.0,0.1,proposed_hfl,fair_mab,16,51.0,0.40374755859375,-0.0018991619246397223,-0.25,-0.006087728234720882,0.002497021334628682,False,group,proposed_hfl,accuracy,wilcoxon,holm
0.0,3.0,0.0,proposed_hfl,mozaffari2016,16,52.0,0.433197021484375,0.0035442511485969594,0.23529411764705882,-0.0031171070172770756,0.01016709165145172,False,group,proposed_hfl,accuracy,wilcoxon,holm
0.0,10.0,0.0,proposed_hfl,mozaffari2016,16,52.0,0.433197021484375,0.008885068307496906,0.23529411764705882,-0.008015953481627439,0.026108940811282816,False,group,proposed_hfl,accuracy,wilcoxon,holm
0.1,0.0,0.0,proposed_hfl,alzenad2017,16,52.0,0.433197021484375,-0.0022604826683054746,-0.23529411764705882,-0.008380462944779184,0.004162043229963954,False,group,proposed_hfl,accuracy,wilcoxon,holm
0.4,0.0,0.0,proposed_hfl,fair_mab,16,52.0,0.433197021484375,-0.0027664847755813765,-0.23529411764705882,-0.008433175580894197,0.002675380430760326,False,group,proposed_hfl,accuracy,wilcoxon,holm
0.4,0.0,0.0,proposed_hfl,hfl_no_selection,16,54.0,0.49542236328125,-0.002651936677726535,-0.20588235294117646,-0.010698362410874983,0.005548398755552402,False,group,proposed_hfl,accuracy,wilcoxon,holm
0.0,0.0,0.1,proposed_hfl,hfl_no_selection,16,54.0,0.49542236328125,0.0027330655509883034,0.20588235294117646,-0.0025453291735267353,0.008081770626674893,False,group,proposed_hfl,accuracy,wilcoxon,holm
0.2,0.0,0.0,proposed_hfl,hfl_no_selection,16,55.0,0.528167724609375,-0.0019662700834207902,-0.19117647058823528,-0.009170661425842028,0.005448190935886065,False,group,proposed_hfl,accuracy,wilcoxon,holm
0.0,0.0,0.1,proposed_hfl,mozaffari2016,16,56.0,0.5618896484375,-0.002070398223528676,-0.17647058823529413,-0.0069664948450461495,0.003057633453026732,False,group,proposed_hfl,accuracy,wilcoxon,holm
0.1,0.0,0.0,proposed_hfl,mozaffari2016,16,57.0,0.596588134765625,-0.0014093005031960357,-0.16176470588235295,-0.00715131154607857,0.004800029003767535,False,group,proposed_hfl,accuracy,wilcoxon,holm
0.0,10.0,0.0,proposed_hfl,fedcs,16,57.0,0.596588134765625,0.001941152792303863,0.16176470588235295,-0.007345794911345953,0.010952438615067115,False,group,proposed_hfl,accuracy,wilcoxon,holm
0.0,0.0,0.2,proposed_hfl,mozaffari2016,16,57.0,0.596588134765625,-0.0023177630350480483,-0.16176470588235295,-0.00863097966175287,0.003658495295103042,False,group,proposed_hfl,accuracy,wilcoxon,holm
0.4,0.0,0.0,proposed_hfl,fedcs,16,57.0,0.596588134765625,0.000160021827822876,-0.16176470588235295,-0.00709177522374675,0.00776889152402373,False,group,proposed_hfl,accuracy,wilcoxon,holm
0.0,6.0,0.0,proposed_hfl,hfl_no_selection,16,58.0,0.632171630859375,-0.0018345329882527225,-0.14705882352941177,-0.00768047262979662,0.004090932937028123,False,group,proposed_hfl,accuracy,wilcoxon,holm
0.0,0.0,0.2,proposed_hfl,alzenad2017,16,58.0,0.632171630859375,-0.0018380064503169258,-0.14705882352941177,-0.008333105441474557,0.004673514812083444,False,group,proposed_hfl,accuracy,wilcoxon,holm
0.0,6.0,0.0,proposed_hfl,alzenad2017,16,58.0,0.632171630859375,-0.00105332324576652,-0.14705882352941177,-0.009944988101613832,0.008078020070669895,False,group,proposed_hfl,accuracy,wilcoxon,holm
0.3,0.0,0.0,proposed_hfl,fair_mab,16,58.0,0.632171630859375,-0.001244398095616675,-0.14705882352941177,-0.007935167598502076,0.005696984537721752,False,group,proposed_hfl,accuracy,wilcoxon,holm
0.0,0.0,0.0,proposed_hfl,hfl_no_selection,16,59.0,0.668548583984375,-0.002146299929921977,-0.1323529411764706,-0.009595698203154994,0.0047514577135361865,False,group,proposed_hfl,accuracy,wilcoxon,holm
0.3,0.0,0.0,proposed_hfl,hfl_no_selection,16,60.0,0.705718994140625,0.0011591927739433294,0.11764705882352941,-0.004947474733714879,0.007463539214373444,False,group,proposed_hfl,accuracy,wilcoxon,holm
0.0,10.0,0.0,proposed_hfl,fair_mab,16,60.0,0.705718994140625,-0.0004589706875231178,0.11764705882352941,-0.01493691074000273,0.01319693097801024,False,group,proposed_hfl,accuracy,wilcoxon,holm
0.4,0.0,0.0,proposed_hfl,oort,16,60.0,0.705718994140625,-0.0015733431706571183,-0.11764705882352941,-0.006503692630672446,0.0031541073880337065,False,group,proposed_hfl,accuracy,wilcoxon,holm
0.2,0.0,0.0,proposed_hfl,mozaffari2016,16,61.0,0.743560791015625,-0.0031883174776727655,-0.10294117647058823,-0.010650193073032983,0.00419702269315453,False,group,proposed_hfl,accuracy,wilcoxon,holm
0.0,3.0,0.0,proposed_hfl,alzenad2017,16,61.0,0.743560791015625,-0.0017431947160935907,-0.10294117647058823,-0.0076749040558690305,0.00407216064096619,False,group,proposed_hfl,accuracy,wilcoxon,holm
0.0,3.0,0.0,proposed_hfl,fair_mab,16,62.0,0.781951904296875,0.0024903216259875363,0.08823529411764706,-0.003870215324986684,0.009891146741177623,False,group,proposed_hfl,accuracy,wilcoxon,holm
0.0,10.0,0.0,proposed_hfl,alzenad2017,16,62.0,0.781951904296875,-0.0006877775843193296,0.08823529411764706,-0.01750438883261795,0.014285099541424737,False,group,proposed_hfl,accuracy,wilcoxon,holm
0.3,0.0,0.0,proposed_hfl,mozaffari2016,16,64.0,0.860260009765625,0.0008661053237501853,0.058823529411764705,-0.006611303290446881,0.008580780978331448,False,group,proposed_hfl,accuracy,wilcoxon,holm
0.0,10.0,0.0,proposed_hfl,oort,16,64.0,0.860260009765625,-0.000926825744909425,0.058823529411764705,-0.013218596675375512,0.011143344213570425,False,group,proposed_hfl,accuracy,wilcoxon,holm
0.1,0.0,0.0,proposed_hfl,fair_mab,16,65.0,0.899932861328125,0.0007634151895730273,0.04411764705882353,-0.0048085397049652855,0.006577920438075779,False,group,proposed_hfl,accuracy,wilcoxon,holm
0.3,0.0,0.0,proposed_hfl,oort,16,66.0,0.93988037109375,0.0019200527930196276,0.029411764705882353,-0.004494888823360131,0.008988218139605708,False,group,proposed_hfl,accuracy,wilcoxon,holm
0.0,0.0,0.0,proposed_hfl,mozaffari2016,16,66.0,0.93988037109375,0.0007347696295866707,0.029411764705882353,-0.005145754994591714,0.00695117886292884,False,group,proposed_hfl,accuracy,wilcoxon,holm
0.0,6.0,0.0,proposed_hfl,fair_mab,16,67.0,0.979949951171875,0.0003728082317803541,0.014705882352941176,-0.007953825764442897,0.008390487648627619,False,group,proposed_hfl,accuracy,wilcoxon,holm
0.0,0.0,0.05,proposed_hfl,hfl_no_selection,16,67.0,0.979949951171875,-0.0010174043232401286,0.014705882352941176,-0.007782590514645679,0.005648110322788011,False,group,proposed_hfl,accuracy,wilcoxon,holm
