N,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,correction_scope,reference,metric,test,correction
500,ucb,oort,10,0.0,0.001953125,-0.0627916392041046,-1.0,-0.07768202867432866,-0.046241832716603135,True,group,ucb,macro_f1,wilcoxon,holm
500,ucb,power_of_choice,10,0.0,0.001953125,-0.05970348104029136,-1.0,-0.07513872924146855,-0.0437631813957813,True,group,ucb,macro_f1,wilcoxon,holm
350,ucb,power_of_choice,10,3.0,0.009765625,-0.01806595781980928,-0.8909090909090909,-0.02921376823590357,-0.008249489825057655,True,group,ucb,macro_f1,wilcoxon,holm
350,ucb,random,10,10.0,0.083984375,0.01360668052081796,0.6363636363636364,-0.0018346120201522462,0.028529422220955603,False,group,ucb,macro_f1,wilcoxon,holm
500,ucb,random,10,14.0,0.193359375,-0.01725042049055455,-0.4909090909090909,-0.036106478830166946,0.0019316156750975428,False,group,ucb,macro_f1,wilcoxon,holm
350,ucb,oort,10,16.0,0.275390625,-0.012676934767444841,-0.41818181818181815,-0.028956310299602914,0.001323958387209132,False,group,ucb,macro_f1,wilcoxon,holm
