N,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,metric,test,correction
100,random,ucb,10,2.0,0.005859375,-0.02076177697360857,-0.9272727272727272,-0.028441359135462196,-0.011855592514766842,False,macro_f1,wilcoxon,holm
500,rep_cap,ucb,10,2.0,0.005859375,0.016086930299959036,0.9272727272727272,0.007273262312704393,0.026790669344310583,False,macro_f1,wilcoxon,holm
50,fedcs,power_of_choice,10,2.0,0.005859375,-0.02654338631035801,-0.9272727272727272,-0.03810191658930683,-0.0136480892781842,False,macro_f1,wilcoxon,holm
350,fair_mab,random,10,3.0,0.009765625,-0.013887253716160819,-0.8909090909090909,-0.021119224501316713,-0.006593722794341237,False,macro_f1,wilcoxon,holm
50,power_of_choice,random,10,3.0,0.009765625,0.021870404148224703,0.8909090909090909,0.00967627430877568,0.034427709269861856,False,macro_f1,wilcoxon,holm
500,fair_mab,rep_cap,10,3.0,0.009765625,-0.017280156635687625,-0.8909090909090909,-0.027182737293026605,-0.008430286003956431,False,macro_f1,wilcoxon,holm
100,fedcs,ucb,10,3.0,0.009765625,-0.0219607545799231,-0.8909090909090909,-0.0328171222641084,-0.010409070138083894,False,macro_f1,wilcoxon,holm
50,fedcs,oort,10,3.0,0.009765625,-0.021919473444480135,-0.8909090909090909,-0.033915927939466496,-0.009904510918153846,False,macro_f1,wilcoxon,holm
50,oort,random,10,5.0,0.01953125,0.017246491282346833,0.8181818181818182,0.006290699898049678,0.029323394217761454,False,macro_f1,wilcoxon,holm
100,power_of_choice,random,10,5.0,0.01953125,0.028032406517636676,0.8181818181818182,0.009393351367986478,0.046094775295514055,False,macro_f1,wilcoxon,holm
200,random,rep_cap,10,5.0,0.01953125,-0.014056905121244218,-0.8181818181818182,-0.02758261234369791,-0.003399102240530489,False,macro_f1,wilcoxon,holm
200,random,ucb,10,6.0,0.02734375,-0.017097365021078413,-0.7818181818181819,-0.030123053610385683,-0.0037896378249240026,False,macro_f1,wilcoxon,holm
200,fair_mab,power_of_choice,10,6.0,0.02734375,-0.013667747537209379,-0.7818181818181819,-0.021548492525264494,-0.005581320643913314,False,macro_f1,wilcoxon,holm
200,fair_mab,oort,10,6.0,0.02734375,-0.011766535899714131,-0.7818181818181819,-0.02233375748670314,-0.003287581033649858,False,macro_f1,wilcoxon,holm
50,fair_mab,power_of_choice,10,7.0,0.037109375,-0.019308537885371662,-0.7454545454545455,-0.03341195268098689,-0.005125846792057857,False,macro_f1,wilcoxon,holm
100,fedcs,power_of_choice,10,7.0,0.037109375,-0.02923138412395121,-0.7454545454545455,-0.04903382589158405,-0.007129852170423513,False,macro_f1,wilcoxon,holm
50,power_of_choice,rep_cap,10,7.0,0.037109375,0.017329143317329276,0.7454545454545455,0.0040353645118417925,0.031390453854570594,False,macro_f1,wilcoxon,holm
50,fair_mab,oort,10,8.0,0.048828125,-0.014684625019493792,-0.7090909090909091,-0.02792185053841683,-0.002992617637534222,False,macro_f1,wilcoxon,holm
350,fair_mab,fedcs,10,8.0,0.048828125,-0.01033476796506872,-0.7090909090909091,-0.018632121492283913,-0.0016891212592462456,False,macro_f1,wilcoxon,holm
