N,method_a,method_b,n_pairs,statistic,p_value,mean_diff,significant,metric,test,correction
30,centralized,proposed_hfl,10,0.0,0.001953125,0.029762422687003055,False,macro_f1,wilcoxon,holm
50,centralized,proposed_hfl,10,0.0,0.001953125,0.03276577609168554,False,macro_f1,wilcoxon,holm
100,centralized,proposed_hfl,10,0.0,0.001953125,0.050077528668094194,False,macro_f1,wilcoxon,holm
200,centralized,proposed_hfl,10,0.0,0.001953125,0.07542972074131202,False,macro_f1,wilcoxon,holm
200,fair_mab,fedcs,10,0.0,0.001953125,0.05811006444570057,False,macro_f1,wilcoxon,holm
30,fair_mab,flat_fl,10,0.0,0.001953125,-0.04541150860109876,False,macro_f1,wilcoxon,holm
100,centralized,rep_cap,10,0.0,0.001953125,0.12548039304723002,False,macro_f1,wilcoxon,holm
200,centralized,rep_cap,10,0.0,0.001953125,0.10394338358510016,False,macro_f1,wilcoxon,holm
100,fair_mab,flat_fl,10,0.0,0.001953125,0.08890764541256002,False,macro_f1,wilcoxon,holm
200,fair_mab,flat_fl,10,0.0,0.001953125,0.17438451401632038,False,macro_f1,wilcoxon,holm
50,fair_mab,hfl_no_reputation,10,0.0,0.001953125,-0.11837495731893002,False,macro_f1,wilcoxon,holm
30,fair_mab,hfl_no_reputation,10,0.0,0.001953125,-0.1206531067485607,False,macro_f1,wilcoxon,holm
30,fedcs,oort,10,0.0,0.001953125,0.07746159011815164,False,macro_f1,wilcoxon,holm
50,fedcs,mozaffari2016,10,0.0,0.001953125,-0.07504934622873646,False,macro_f1,wilcoxon,holm
100,fair_mab,hfl_no_reputation,10,0.0,0.001953125,-0.05950291439682799,False,macro_f1,wilcoxon,holm
200,fair_mab,hfl_no_selection,10,0.0,0.001953125,0.05100275152921814,False,macro_f1,wilcoxon,holm
50,fair_mab,hfl_static,10,0.0,0.001953125,-0.0965580967323654,False,macro_f1,wilcoxon,holm
30,fair_mab,hfl_static,10,0.0,0.001953125,-0.10368340217326329,False,macro_f1,wilcoxon,holm
30,fair_mab,mozaffari2016,10,0.0,0.001953125,-0.12020162176184726,False,macro_f1,wilcoxon,holm
50,fair_mab,mozaffari2016,10,0.0,0.001953125,-0.12114547998463283,False,macro_f1,wilcoxon,holm
100,hfl_no_selection,proposed_hfl,10,0.0,0.001953125,-0.07102856665617088,False,macro_f1,wilcoxon,holm
200,hfl_no_selection,power_of_choice,10,0.0,0.001953125,-0.04227700206340387,False,macro_f1,wilcoxon,holm
30,hfl_no_selection,proposed_hfl,10,0.0,0.001953125,-0.05626893983346913,False,macro_f1,wilcoxon,holm
50,hfl_no_selection,proposed_hfl,10,0.0,0.001953125,-0.07476526262307823,False,macro_f1,wilcoxon,holm
30,hfl_no_selection,rep_cap,10,0.0,0.001953125,0.0683636136969239,False,macro_f1,wilcoxon,holm
200,hfl_no_selection,proposed_hfl,10,0.0,0.001953125,-0.06620379393822377,False,macro_f1,wilcoxon,holm
50,hfl_static,oort,10,0.0,0.001953125,0.09474927461200917,False,macro_f1,wilcoxon,holm
30,hfl_static,oort,10,0.0,0.001953125,0.12341771084807329,False,macro_f1,wilcoxon,holm
50,mozaffari2016,oort,10,0.0,0.001953125,0.11933665786427661,False,macro_f1,wilcoxon,holm
30,fair_mab,proposed_hfl,10,0.0,0.001953125,-0.12392310411147708,False,macro_f1,wilcoxon,holm
30,hfl_static,power_of_choice,10,0.0,0.001953125,0.10682268708605766,False,macro_f1,wilcoxon,holm
50,hfl_static,power_of_choice,10,0.0,0.001953125,0.07815211483340348,False,macro_f1,wilcoxon,holm
30,hfl_static,rep_cap,10,0.0,0.001953125,0.10439285159217922,False,macro_f1,wilcoxon,holm
50,hfl_static,rep_cap,10,0.0,0.001953125,0.11119690739468002,False,macro_f1,wilcoxon,holm
200,hfl_static,rep_cap,10,0.0,0.001953125,0.02656673258425473,False,macro_f1,wilcoxon,holm
30,mozaffari2016,oort,10,0.0,0.001953125,0.13993593043665725,False,macro_f1,wilcoxon,holm
200,fedcs,flat_fl,10,0.0,0.001953125,0.1162744495706198,False,macro_f1,wilcoxon,holm
100,fedcs,flat_fl,10,0.0,0.001953125,0.08889759068017748,False,macro_f1,wilcoxon,holm
50,fair_mab,proposed_hfl,10,0.0,0.001953125,-0.11719113272056192,False,macro_f1,wilcoxon,holm
50,fedcs,flat_fl,10,0.0,0.001953125,0.08297068385001569,False,macro_f1,wilcoxon,holm
50,fedcs,hfl_no_reputation,10,0.0,0.001953125,-0.07227882356303365,False,macro_f1,wilcoxon,holm
50,fedcs,hfl_static,10,0.0,0.001953125,-0.05046196297646903,False,macro_f1,wilcoxon,holm
200,fedcs,hfl_no_reputation,10,0.0,0.001953125,-0.06765158684083623,False,macro_f1,wilcoxon,holm
100,fedcs,hfl_no_reputation,10,0.0,0.001953125,-0.05951296912921052,False,macro_f1,wilcoxon,holm
