scenario,method,mean,std,count,weight_setting,w1,w2,w3,rank_within_scenario
clustered_N250_K10,alzenad2017,0.3626639711424423,0.021642217864815426,30,w1=0.6,0.6,0.06349206349206349,0.33650793650793653,3.0
clustered_N250_K10,centroid,0.37391649725128523,0.022162336310564208,30,w1=0.6,0.6,0.06349206349206349,0.33650793650793653,1.0
clustered_N250_K10,mozaffari2016,0.37323727183716227,0.015687356100847795,30,w1=0.6,0.6,0.06349206349206349,0.33650793650793653,2.0
clustered_N250_K10,static,0.08022347681093214,0.06566178644916229,30,w1=0.6,0.6,0.06349206349206349,0.33650793650793653,4.0
epicenter_biased_N250_K10,alzenad2017,0.38136809002137134,0.018176482944240638,30,w1=0.6,0.6,0.06349206349206349,0.33650793650793653,2.0
epicenter_biased_N250_K10,centroid,0.3922891878985567,0.01845864988452613,30,w1=0.6,0.6,0.06349206349206349,0.33650793650793653,1.0
epicenter_biased_N250_K10,mozaffari2016,0.3318478937560012,0.03940193354208162,30,w1=0.6,0.6,0.06349206349206349,0.33650793650793653,3.0
epicenter_biased_N250_K10,static,0.22502593556323738,0.1610536132097405,30,w1=0.6,0.6,0.06349206349206349,0.33650793650793653,4.0
real_N250_K10,alzenad2017,0.3299499054443202,0.012085370533901185,30,w1=0.6,0.6,0.06349206349206349,0.33650793650793653,3.0
real_N250_K10,centroid,0.3308758553558094,0.013707996076021793,30,w1=0.6,0.6,0.06349206349206349,0.33650793650793653,2.0
real_N250_K10,mozaffari2016,0.34598686615952506,0.00993804739825042,30,w1=0.6,0.6,0.06349206349206349,0.33650793650793653,1.0
real_N250_K10,static,0.12231477999893633,0.05117010009533942,30,w1=0.6,0.6,0.06349206349206349,0.33650793650793653,4.0
uniform_N250_K10,alzenad2017,0.1973284472889318,0.01641261796915756,30,w1=0.6,0.6,0.06349206349206349,0.33650793650793653,3.0
uniform_N250_K10,centroid,0.20537625951225724,0.025043144617420746,30,w1=0.6,0.6,0.06349206349206349,0.33650793650793653,2.0
uniform_N250_K10,mozaffari2016,0.27122739576975047,0.014765446972683846,30,w1=0.6,0.6,0.06349206349206349,0.33650793650793653,1.0
uniform_N250_K10,static,0.16117261905749244,0.03038085213249386,30,w1=0.6,0.6,0.06349206349206349,0.33650793650793653,4.0
clustered_N250_K10,alzenad2017,0.43347542212856005,0.024671224096796004,30,w1=0.7,0.7,0.04761904761904762,0.25238095238095243,3.0
clustered_N250_K10,centroid,0.44653469259163886,0.025103321842862132,30,w1=0.7,0.7,0.04761904761904762,0.25238095238095243,1.0
clustered_N250_K10,mozaffari2016,0.4457977192740856,0.01742313785383881,30,w1=0.7,0.7,0.04761904761904762,0.25238095238095243,2.0
clustered_N250_K10,static,0.09388046192315981,0.07675882684708651,30,w1=0.7,0.7,0.04761904761904762,0.25238095238095243,4.0
epicenter_biased_N250_K10,alzenad2017,0.4503043503240825,0.020609086542141476,30,w1=0.7,0.7,0.04761904761904762,0.25238095238095243,2.0
epicenter_biased_N250_K10,centroid,0.4633001574445034,0.02085425726387181,30,w1=0.7,0.7,0.04761904761904762,0.25238095238095243,1.0
epicenter_biased_N250_K10,mozaffari2016,0.39305039071296,0.04552328638228752,30,w1=0.7,0.7,0.04761904761904762,0.25238095238095243,3.0
epicenter_biased_N250_K10,static,0.26280625448867995,0.18789688268749488,30,w1=0.7,0.7,0.04761904761904762,0.25238095238095243,4.0
real_N250_K10,alzenad2017,0.3956869752189955,0.01341235356691772,30,w1=0.7,0.7,0.04761904761904762,0.25238095238095243,3.0
real_N250_K10,centroid,0.39658497561783806,0.015395157173613807,30,w1=0.7,0.7,0.04761904761904762,0.25238095238095243,2.0
real_N250_K10,mozaffari2016,0.41408374133917736,0.011267568381924681,30,w1=0.7,0.7,0.04761904761904762,0.25238095238095243,1.0
real_N250_K10,static,0.14292359916983488,0.05975780785911742,30,w1=0.7,0.7,0.04761904761904762,0.25238095238095243,4.0
uniform_N250_K10,alzenad2017,0.24041363839515734,0.018964814760886108,30,w1=0.7,0.7,0.04761904761904762,0.25238095238095243,3.0
uniform_N250_K10,centroid,0.24939046295896145,0.028911494013079277,30,w1=0.7,0.7,0.04761904761904762,0.25238095238095243,2.0
uniform_N250_K10,mozaffari2016,0.3259156854802185,0.01678652916662432,30,w1=0.7,0.7,0.04761904761904762,0.25238095238095243,1.0
uniform_N250_K10,static,0.18818311475578703,0.03548476868552924,30,w1=0.7,0.7,0.04761904761904762,0.25238095238095243,4.0
clustered_N250_K10,alzenad2017,0.5120761327231508,0.02825521170080052,30,w1=0.811,0.811,0.02999999999999999,0.15899999999999995,3.0
clustered_N250_K10,centroid,0.5271408894194315,0.028479683743353894,30,w1=0.811,0.811,0.02999999999999999,0.15899999999999995,1.0
clustered_N250_K10,mozaffari2016,0.5263398159290706,0.01961218189426001,30,w1=0.811,0.811,0.02999999999999999,0.15899999999999995,2.0
clustered_N250_K10,static,0.10903971539773252,0.08907689501865106,30,w1=0.811,0.811,0.02999999999999999,0.15899999999999995,4.0
epicenter_biased_N250_K10,alzenad2017,0.5268235992600919,0.023510881134481715,30,w1=0.811,0.811,0.02999999999999999,0.15899999999999995,2.0
epicenter_biased_N250_K10,centroid,0.5421223336405044,0.023692945618018796,30,w1=0.811,0.811,0.02999999999999999,0.15899999999999995,1.0
epicenter_biased_N250_K10,mozaffari2016,0.4609851623351842,0.05239226086361163,30,w1=0.811,0.811,0.02999999999999999,0.15899999999999995,3.0
epicenter_biased_N250_K10,static,0.30474240849592127,0.21769326268552933,30,w1=0.811,0.811,0.02999999999999999,0.15899999999999995,4.0
real_N250_K10,alzenad2017,0.46865512266888515,0.014991636126793348,30,w1=0.811,0.811,0.02999999999999999,0.15899999999999995,3.0
real_N250_K10,centroid,0.46952209910869,0.017407187782753457,30,w1=0.811,0.811,0.02999999999999999,0.15899999999999995,2.0
real_N250_K10,mozaffari2016,0.48967127278859146,0.012881072490039289,30,w1=0.811,0.811,0.02999999999999999,0.15899999999999995,1.0
real_N250_K10,static,0.16579938844953232,0.0692903509576154,30,w1=0.811,0.811,0.02999999999999999,0.15899999999999995,4.0
uniform_N250_K10,alzenad2017,0.28823820052306776,0.02187862107668655,30,w1=0.811,0.811,0.02999999999999999,0.15899999999999995,3.0
uniform_N250_K10,centroid,0.29824622878480317,0.03328958449168475,30,w1=0.811,0.811,0.02999999999999999,0.15899999999999995,2.0
uniform_N250_K10,mozaffari2016,0.38661968705883804,0.019135006019589715,30,w1=0.811,0.811,0.02999999999999999,0.15899999999999995,1.0
uniform_N250_K10,static,0.21816476498089407,0.041150196804262545,30,w1=0.811,0.811,0.02999999999999999,0.15899999999999995,4.0
clustered_N250_K10,alzenad2017,0.5750983241007955,0.03124529227024909,30,w1=0.9,0.9,0.01587301587301587,0.0841269841269841,3.0
clustered_N250_K10,centroid,0.5917710832723462,0.031247078985229465,30,w1=0.9,0.9,0.01587301587301587,0.0841269841269841,1.0
clustered_N250_K10,mozaffari2016,0.5909186141479325,0.021512139398450716,30,w1=0.9,0.9,0.01587301587301587,0.0841269841269841,2.0
clustered_N250_K10,static,0.12119443214761513,0.09895372245983682,30,w1=0.9,0.9,0.01587301587301587,0.0841269841269841,4.0
