R_comm,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,correction_scope,reference,metric,test,correction
4000.0,mclp_place,alzenad2017,10,0.0,0.001953125,0.06650219786280845,1.0,0.03768550379003955,0.09962856046640557,True,group,mclp_place,macro_f1,wilcoxon,holm
3000.0,mclp_place,alzenad2017,10,0.0,0.001953125,0.07462156360541886,1.0,0.05721923954933302,0.09653469946263465,True,group,mclp_place,macro_f1,wilcoxon,holm
500.0,mclp_place,flat_fl,10,0.0,0.001953125,-0.165101050165664,-1.0,-0.20595014027116182,-0.12558470722865753,True,group,mclp_place,macro_f1,wilcoxon,holm
1000.0,mclp_place,flat_fl,10,0.0,0.001953125,-0.13760532176158297,-1.0,-0.1882017517028316,-0.09861465864291837,True,group,mclp_place,macro_f1,wilcoxon,holm
3000.0,mclp_place,flat_fl,10,0.0,0.001953125,-0.057278472012042926,-1.0,-0.07596967841167526,-0.03839864239008439,True,group,mclp_place,macro_f1,wilcoxon,holm
2000.0,mclp_place,mogoa,10,0.0,0.001953125,0.0630935858336004,1.0,0.04794587084730888,0.07616284335552168,True,group,mclp_place,macro_f1,wilcoxon,holm
2000.0,mclp_place,flat_fl,10,0.0,0.001953125,-0.08902539529330149,-1.0,-0.1072778974765589,-0.070435405280347,True,group,mclp_place,macro_f1,wilcoxon,holm
5000.0,mclp_place,mozaffari2016,10,0.0,0.001953125,0.042537880119764684,1.0,0.03216125598050733,0.053792906470371646,True,group,mclp_place,macro_f1,wilcoxon,holm
2000.0,mclp_place,pso_cluster_place,10,0.0,0.001953125,0.03864404008238804,1.0,0.022542591642644418,0.05449149024948211,True,group,mclp_place,macro_f1,wilcoxon,holm
3000.0,mclp_place,random_place,10,0.0,0.001953125,0.07945180228468737,1.0,0.06301507332085872,0.09897396675092214,True,group,mclp_place,macro_f1,wilcoxon,holm
2000.0,mclp_place,random_place,10,0.0,0.001953125,0.09344099213267112,1.0,0.05909015765654534,0.12648727424931513,True,group,mclp_place,macro_f1,wilcoxon,holm
4000.0,mclp_place,random_place,10,0.0,0.001953125,0.051326997847227496,1.0,0.0326761616015842,0.06852512249349552,True,group,mclp_place,macro_f1,wilcoxon,holm
3000.0,mclp_place,mogoa,10,1.0,0.00390625,0.06555219747656603,0.9636363636363636,0.04193214931818474,0.09251645376587288,False,group,mclp_place,macro_f1,wilcoxon,holm
5000.0,mclp_place,alzenad2017,10,1.0,0.00390625,0.08502576871234716,0.9636363636363636,0.0579827851242186,0.11109238491136902,False,group,mclp_place,macro_f1,wilcoxon,holm
