R_comm,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,correction_scope,reference,metric,test,correction
3000.0,mclp_place,alzenad2017,10,7.0,0.037109375,0.14533954724452652,0.7454545454545455,0.039031666145784974,0.24299397665460723,False,group,mclp_place,accuracy,wilcoxon,holm
4000.0,mclp_place,proposed_hfl,10,7.0,0.037109375,-0.04966068408804105,-0.7454545454545455,-0.09820193265248083,-0.009829620398713773,False,group,mclp_place,accuracy,wilcoxon,holm
3000.0,mclp_place,de_place,10,7.0,0.037109375,-0.04062015772257273,-0.7454545454545455,-0.0936396338300696,-0.0016890434850551695,False,group,mclp_place,accuracy,wilcoxon,holm
3000.0,mclp_place,proposed_hfl,10,8.0,0.048828125,-0.0410208633388609,-0.7090909090909091,-0.09323825757270392,-0.0020201073166910056,False,group,mclp_place,accuracy,wilcoxon,holm
1000.0,mclp_place,proposed_hfl,10,9.0,0.064453125,-0.17417828317563566,-0.6727272727272727,-0.3190235955911074,-0.03299304711176035,False,group,mclp_place,accuracy,wilcoxon,holm
3000.0,mclp_place,ahc_place,10,9.0,0.064453125,0.11676905171508507,0.6727272727272727,0.0042743086620914365,0.22006871052588817,False,group,mclp_place,accuracy,wilcoxon,holm
5000.0,mclp_place,flat_fl,10,10.0,0.083984375,0.04446242745248624,0.6363636363636364,0.007478650656782841,0.06734053898505264,False,group,mclp_place,accuracy,wilcoxon,holm
1000.0,mclp_place,flat_fl,10,10.0,0.083984375,-0.14191291088527774,-0.6363636363636364,-0.2814333613181107,-0.01936536680486603,False,group,mclp_place,accuracy,wilcoxon,holm
500.0,mclp_place,de_place,10,10.0,0.083984375,-0.16797794128153118,-0.6363636363636364,-0.28785539769827934,-0.015456744555890417,False,group,mclp_place,accuracy,wilcoxon,holm
5000.0,mclp_place,cap_kmeans_place,10,10.0,0.083984375,-0.02310416556659469,-0.6363636363636364,-0.05981908544516661,-0.0017737880947949066,False,group,mclp_place,accuracy,wilcoxon,holm
4000.0,mclp_place,centroid_place,10,10.0,0.083984375,-0.04580231468169581,-0.6363636363636364,-0.09586088202841823,-0.004165181286658906,False,group,mclp_place,accuracy,wilcoxon,holm
1000.0,mclp_place,pso_cluster_place,10,10.0,0.083984375,-0.1781524112387196,-0.6363636363636364,-0.3333608311047939,-0.03285770235428985,False,group,mclp_place,accuracy,wilcoxon,holm
