scenario,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,correction_scope,reference,metric,test,correction
real_N250_K10,centroid,pso,20,0.0,1.9073486328125e-06,-0.06107662566011753,-1.0,-0.07226385956442714,-0.049539809216646996,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,centroid,pso,20,0.0,1.9073486328125e-06,-0.042763829294049205,-1.0,-0.054335067333650795,-0.03253042433538444,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,mozaffari2016,pso,20,0.0,1.9073486328125e-06,-0.4287058307602793,-1.0,-0.4400700501722004,-0.41757012824726775,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,mozaffari2016,pso,20,0.0,1.9073486328125e-06,-0.2891578974521773,-1.0,-0.316880418809081,-0.26487651426438463,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,mozaffari2016,pso,20,0.0,1.9073486328125e-06,-0.2974703301058085,-1.0,-0.3086332828519059,-0.285795036556744,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,ga,random,20,0.0,1.9073486328125e-06,0.2702273292299394,1.0,0.24143247612746596,0.29666925965745766,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,mozaffari2016,pso,20,0.0,1.9073486328125e-06,-0.43444073332086397,-1.0,-0.4599934338768841,-0.4093517341985383,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,ga,static,20,0.0,1.9073486328125e-06,0.19289337171479642,1.0,0.17590550999066054,0.2099123207807617,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,ga,static,20,0.0,1.9073486328125e-06,0.3295105445509206,1.0,0.2950650579116959,0.3604844018872739,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,ga,static,20,0.0,1.9073486328125e-06,0.413485651747433,1.0,0.36573318378099295,0.45954929735544564,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,ga,random,20,0.0,1.9073486328125e-06,0.24781743226670824,1.0,0.23426296947691058,0.26050294720560374,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,ga,random,20,0.0,1.9073486328125e-06,0.3008078683616438,1.0,0.2730623407905164,0.3263660578006144,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,ga,random,20,0.0,1.9073486328125e-06,0.16392927363186288,1.0,0.15481755062237784,0.17316145462173832,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,pso,random,20,0.0,1.9073486328125e-06,0.16692091193713893,1.0,0.15842545490351653,0.17524596425695807,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,pso,static,20,0.0,1.9073486328125e-06,0.4481622990176065,1.0,0.40392056267766135,0.49132997131285855,True,table,,final_fitness,wilcoxon,holm
